"","Arabidopsis-1d.1","Arabidopsis-1d.2","Arabidopsis-1d.3","Arabidopsis-1d.4","Arabidopsis-00h.1","Arabidopsis-00h.2","Arabidopsis-00h.3","Arabidopsis-00h.4","Arabidopsis-02h.1","Arabidopsis-02h.2","Arabidopsis-02h.3","Arabidopsis-02h.4","Arabidopsis-04h.1","Arabidopsis-04h.2","Arabidopsis-04h.3","Arabidopsis-04h.4","Arabidopsis-4d.1","Arabidopsis-4d.2","Arabidopsis-4d.3","Arabidopsis-4d.4","Arabidopsis-p5h.1","Arabidopsis-p5h.2","Arabidopsis-p5h.3","Arabidopsis-p5h.4"
"4-quinolinecarboxylic acid",1.35421734380445e-05,1.8504914639968e-05,5.51683449480396e-05,3.90122604709698e-05,0.000122835132011114,0.000167692452526514,2.45596902499123e-05,0.000273947495254131,5.36643555103746e-05,1.18233417675855e-05,2.24507924896646e-05,0,1.24350054096427e-05,7.07727564515511e-06,8.3561442360602e-06,2.19384357464383e-05,0,0,0,0,2.98280920835635e-05,7.97596651143396e-05,1.81723660210134e-05,8.67006924316476e-05
"5-methylcytosine",0.000142285682366401,5.92958357340982e-05,0.000197134210748591,0.000192283530216726,9.17083680877546e-05,9.33688720070427e-05,4.32320829062019e-05,0.000119174433178249,0.000696021884854329,5.81778085475816e-05,6.18320182893485e-05,1.04478160454738e-05,3.90502825975636e-05,3.01534761562477e-05,3.60531290820478e-05,8.73222115500599e-05,0.000190395807395592,0.00150278655549969,0.000245069186639298,0.000179603335038674,5.46773278307977e-05,6.66263359849534e-05,5.67422722037087e-05,8.44881890094548e-05
"5-deoxyadenosine",0,0,0,0,0,0,0,0,0.000243849590487441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5-methylthioadenosine",8.50327523123176e-05,9.77667981425697e-05,3.26880899531563e-05,9.09554603969867e-05,0,0,0,0,0.000201503287919179,3.53369813062456e-05,2.50800559700486e-05,5.65714474448636e-05,0,0,0,0,1.9535922605927e-05,1.29055113047883e-05,3.83645848273606e-05,3.68054831393602e-05,4.61473725738304e-05,5.79964256966119e-05,2.40137304261946e-05,5.10897202791478e-05
"acetylcholine",0.000270960653904792,0.00928540218253425,5.00253704449087e-05,0.000201486647268141,0.000240409601161885,1.18895274847602e-06,0.000147885906901068,0,0,0,0,0,0.000253318988760614,0.000733925476290253,0,0.00010663921336877,0.000224745571038071,0.00395720001076396,0.000200345728575092,0.00676958229111629,0.000150631836442698,0,0,0
"adenine",0.218378280452378,0.255613898044733,0.187785843509714,0.18248027721176,0.113541364508301,0.198618973876181,0.262492239254412,0.149444371692688,0.393167065992045,0.321960296612698,0.225650792832402,0.123532819011403,0.339350593808214,0.321545267425903,0.169759298676652,0.172320789562176,0.0513120436894243,0.0416347409090867,0.119404048161568,0.105787017134339,0.201622238515654,0.185640388914579,0.110297563652217,0.151077615601088
"adenosine",0.0848736130345531,0.0570910862508218,0.0927453891225767,0.0824645525292875,0.0174607106230059,0.0161906230261755,0.0266874320916292,0.00980432262942618,0,0.0818665070839687,0.0505593414811584,0.0699881932969106,0.0809836540102146,0.103783597459757,0.0906463956188771,0.0966510722686914,0.0252345736043272,0.0170484679595371,0.0492254979798312,0.0427116061857628,0.107789966053983,0.0746649188672144,0.0602015508068035,0.0751345372366218
"alpha-hydroxyisobutyric acid",0.00280096034361112,0.000170070926120722,3.25754963614354e-05,0.00029181658803435,1.4709925021728e-05,7.1836161628525e-06,2.81722699465779e-05,1.29904794417353e-05,0,8.22169820167941e-05,0.000104040114148123,6.89017243364196e-06,0.000603269674921844,0.000240432287687856,8.55679398787212e-05,0.000553211174425211,9.10020881548167e-05,5.14650027722475e-05,1.80157603758999e-05,4.03583316003827e-05,8.2029743084511e-06,2.53280605108063e-05,0,1.47539376828013e-05
"an hydroxycinnamic acid",0.00789963549594833,0.00760642139838196,0.013956315713884,0.0119415301918969,0.000110673865166365,5.21420562904357e-05,9.82984713008021e-05,0.000116890794284421,0,0.000286760024996269,0.000262730271524702,6.02541556825489e-06,0.00747488104274288,0.000414807283355727,0.000320400480914676,0.000693088649236866,0.00694670236835086,0.0079567969479738,0.00947792302036758,0.0094881847419315,0.000158362703363489,0.000222805912602559,4.24980637854352e-05,0.000260830261470738
"azelaic acid and unresolvable, unidentified isomers",4.60604201989822e-05,0,2.58390146206677e-05,4.48844444541051e-05,0.000137776893690875,0,0,2.75038093776351e-05,3.94816875252933e-05,0,1.14621973961104e-05,0,2.14809538977199e-05,0,0,3.63339101388386e-05,6.94350186634785e-05,5.07229889076056e-05,2.19430310835416e-05,0.000244066845158236,0,0,0,0
"betaine",0.0963285065225058,0.0402891480443215,0.178667147376442,0.153672957591045,0.367104933696839,0.427290430218581,0.430579423680637,0.318929578261241,0.281266192034037,0.321550614520483,0.319197837060553,0.459495046742082,0.112847945841667,0.0816379690600127,0.34078633258571,0.239083656321984,0.104621335085085,0.0730244840881936,0.130846942841302,0.0977943379176448,0.384740878742122,0.379692511388253,0.671730527713527,0.424458916232589
"bis(3-aminopropyl)amine",0,0.000929043828887015,0,0,0.033118377810969,0.000668982614324767,0,0.0373073691720392,0.0262725013525537,0.00393262852137429,0,0,0.0137741067954791,0,0.00639280973276371,0.00971743049096731,0,0.000791295849299647,0,0,0,0.0324939348768223,0,0.0236987000178376
"caffeic acid",0,6.1971204590556e-06,0,0.000309840165987813,0,0,0,0.000216853872966871,0,0.000498389430046476,0,2.27901404207822e-05,0,0,0,0,0,0,0.000530061932795958,1.17018182524125e-05,0.000190217119954564,0.000400594777648733,7.71486937613634e-05,0.000467706596721426
"carnitine",0,0,0,0,1.98532209399246e-05,0,0,0,0,8.65810649918462e-05,0,0.000130161183120414,0,0,0,0,0,0,0,0,5.22223943712983e-06,0,0,8.2202345329881e-06
"choline o-sulfuric acid",0,0,0,0,0,0,0,0,0,5.62017680363296e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
