"","Arabidopsis-1d.1","Arabidopsis-1d.2","Arabidopsis-1d.3","Arabidopsis-1d.4","Arabidopsis-00h.1","Arabidopsis-00h.2","Arabidopsis-00h.3","Arabidopsis-00h.4","Arabidopsis-02h.1","Arabidopsis-02h.2","Arabidopsis-02h.3","Arabidopsis-02h.4","Arabidopsis-04h.1","Arabidopsis-04h.2","Arabidopsis-04h.3","Arabidopsis-04h.4","Arabidopsis-4d.1","Arabidopsis-4d.2","Arabidopsis-4d.3","Arabidopsis-4d.4","Arabidopsis-p5h.1","Arabidopsis-p5h.2","Arabidopsis-p5h.3","Arabidopsis-p5h.4"
"isoleucine",81287024.2604067,257980374.260407,877130.635406667,3302374.76040667,500560.490893333,796252.865893333,323879.272193333,392825.084693333,0,24557242.7213367,18787322.7213367,320264.596336667,7842691.57549,7227572.57549,14453179.07549,37768949.07549,272877626.133668,443706006.133668,147447456.133668,271737206.133668,1123949.01561667,1221063.14061667,25198.7031166666,1035765.26561667
"leucine/norleucine",125936315.932267,227034255.932267,1865067.18226667,53327875.9322667,622254.191413333,948094.504413333,212762.878913333,513714.503913333,0,32718403.4349,0,0,132307505.8437,6534826.3437,1909517.5937,5128306.3437,292215881.335067,489733881.335067,166072871.335067,164136521.335067,1089952.6354,1822591.1354,41616.9167,1703773.3854
"malonic acid",42152.75175325,236728.42362325,19922.75565325,48046.12675325,85263.42715975,44750.38024975,48208.39977975,49702.63414975,0,0,0,21090.9309966667,0,0,0,0,520644.169938806,1322292.73243881,610403.669938806,599383.982438806,13437.3598199167,190448.543439917,4663.83442991666,116379.762139917
"N-acetyl-hexosamine",945369.1458,1432908.3958,0,670980.1458,479984.970036667,485692.782536667,273909.001336667,443982.282536667,3028266.91666667,13786738.6666667,815668.104166667,130421.416666667,2034455.79683333,834644.171833333,791871.859833333,18630259.5468333,1357475.03125,41498677.28125,2377562.78125,3953934.78125,310400.516976667,710168.985676667,234174.735676667,577031.860676667
"N-acetyl-phenylalanine",6977.73404666667,0,6804.51725666667,1072.53287666667,1342.33203,5156.53711,935.76953,7508.90234,0,18467.7356766667,8267.38216666667,0,0,0,0,3296.53287666667,0,0,0,0,5262.79622766667,1875.90559766667,3189.01497766667,1128.16536766667
"nicotinamide",2290433.68226667,1424060.05726667,273042.682266667,1570850.93226667,490397.984333333,384209.171833333,146996.734333333,416338.171833333,297410.104166667,2627842.47916667,544351.916666667,792920.729166667,2264197.30206667,727656.052066667,886502.427066667,1033586.92706667,1379440.38713333,1897885.38713333,1004904.01213333,311053.137133333,213018.5312,498244.2187,200639.8437,547408.0937
"pantothenic acid",79793097.1311767,959532.006176667,2424313.88117667,4526570.63117667,3370374.92447,3353556.92447,245061.92447,2943794.17447,1311339.38604333,3354713.76104333,22253625.2610433,45071.5735433333,32110947.7324133,141887.982413333,1369019.85741333,1839888.23241333,136733214.829647,109987974.829647,106596374.829647,2628501.32964667,493586.887194667,3076836.01219467,807917.012194667,2927225.01219467
"phenylalanine",2872769.58854,3597561.08854,382590.18234,1277262.46354,278276.024416667,337533.680716667,69238.8369166667,178895.196316667,0,974633.375,568678.125,0,3598446.20182333,1607724.07682333,424145.983123333,1050546.82682333,4421173.27038778,6519532.27038778,1876335.52038778,2248884.27038778,345789.222656667,882013.160156667,31163.5507866667,581194.347656667
"pipecolic acid",67909.1804991667,134899.453939167,6726.70393916667,323686.078939167,0,0,0,0,0,0,0,18165.18872375,26411.97387375,0,14255.80786375,0,17925678.6360136,3380958.38601361,1251976.26101361,636683.698513611,0,0,0,0
"proline and unresolvable, unidentified isomers",2105623.09106483,3602042.09106483,412975.622364833,1061199.21606483,12346.5689248333,4815.97908483333,0,74004.0454748333,0,265054.180908167,219444.680908167,34389.3372081666,1136743.72908483,820746.041584833,312897.260384833,584969.854084833,72350228.6627327,104705198.662733,2471089.91273272,43080448.6627327,182019.919164833,197477.575464833,0,691053.278564833
