"","MSSuc-ster-Brachy-1-419","MSSuc-ster-Brachy-2-420","MSSuc-ster-Brachy-3-421","MSSuc-ster-Brachy-4-422","MSSuc-ster-Brachy-5-423","MS-ster-Brachy-1-412","MS-ster-Brachy-2-413","MS-ster-Brachy-3-414","MS-ster-Brachy-4-415","MS-ster-Brachy-5-416","MS-nonster-Brachy-1-426","MS-nonster-Brachy-2-427","MS-nonster-Brachy-3-428","MS-nonster-Brachy-4-429","MS-nonster-Brachy-5-430","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","id","PCone"
"3-hydroxybenzoic acid",0.000583370454946309,0.000695255168247823,0.00024368415948056,0.000647522301935646,1.11395578332811e-05,0,0,0,0,0,4.15780623644027e-05,2.8139593261463e-05,1.17562979287838e-05,6.26340479346277e-05,1.72453842716831e-05,-0.000613443790167305,-0.000296143844716801,-0.000137138952364409,0.00285524810814189,0.00249232771860655,-0.000599348271322822,0.000235292077651319,0.00234191503670206,0.00376749375981599,0.0152196164594294,-0.0091699189506337,0.00199676624927201,-0.00360265228678821,0.0171716922341877,0.0166037431097846,"3-hydroxybenzoic acid",3.76313283694828e-07
"3-methyladenine and/or isomers",0.000107377139311903,7.76876183434413e-05,0.000123563965523677,0.000106299930797644,0.00039552670251521,0,0,0,0,0,0.00118453208940653,0.00051716952170171,0.000264450754238901,0.000636407958697591,0.00137827434585738,-6.77029916985536e-05,0.00198040612394102,0.00164021471149186,-9.65737222242754e-05,-0.00528896738029925,-0.00483422253358651,0.00287492148232964,0.00633912284703207,-0.00590681646729929,-0.00664776478564606,-0.0221621968390328,-0.0211984131390241,-0.0352274110148778,0.000668486463887403,-0.0654841664466963,"3-methyladenine and/or isomers",4.58369508493441e-09
"4-aminobutanoic acid",0.0133285524354862,0.00945273151647602,0.0137829743876392,0.00801415122023667,0.00576549886306696,0.00489062012558124,0.00501237981241261,0.00300413965141988,0.00395744220199963,0.00419895523385248,0.0162518210982886,0.0158548650496131,0.0050300021094504,0.0178797141731931,0.0214315466910899,-0.00618274471452946,0.0244892183779605,0.0306638717224998,0.0679987487189521,-0.0508866269343948,0.00354025571812161,0.0131500483581801,0.143010682410212,-0.0814892199693582,-0.0437282624352933,-0.108737733292824,-0.268594404689685,-0.102046109667427,-0.0488819525303513,-0.120638536682207,"4-aminobutanoic acid",3.82263322050419e-05
"4-guanidinobutanoic acid",5.09435239062117e-05,0.00132804823153779,0,0.00122052405827357,0.0161435965063486,0.00184495749705307,0.00102944158058278,0.00134759100374363,0.0021960158555153,0.000953221035575134,0.003017068508862,0.00282874917587925,0.00143918504921759,0.00226126058833265,0.00200020823851131,0.000797495247667963,0.0127033623979024,-0.00986731036034123,-0.0483986649496743,0.0632100815917998,-0.0450761366888479,0.0114783961760642,-0.0810543998679328,-0.0788345318482038,-0.0162051601641514,0.0557465399634255,0.0150375710191747,0.0450256802443155,0.0299468356168471,-0.049458487525867,"4-guanidinobutanoic acid",6.35998670052985e-07
"4-hydroxy-2-quinolinecarboxylic acid",0,0,0,0,0.00227009125393612,0,0,0,0,0,0.000854676660326957,0.000883330008007024,0.000482456604046078,0.000897065499886318,0.00113267494662671,-0.000139704416102353,0.0032277012297312,0.000364792159617032,-0.00624234723326423,0.00400550790428104,-0.00889811513260764,-0.00202087923898742,-0.00540669762783979,-0.0179322392181406,-0.0134504071946912,-0.000125371288766844,-0.00965444909899721,-0.00489165188586079,-0.0116745126241388,-0.00407968908802343,"4-hydroxy-2-quinolinecarboxylic acid",1.95173238784994e-08
"4-hydroxyphenylacetic acid",5.02058749234039e-06,3.68767273511946e-06,3.587274188592e-06,2.06343423097965e-06,2.63108124475858e-05,2.84593452624099e-05,3.02948748188733e-05,2.25575907892073e-05,5.41035368209981e-05,5.19065235910657e-05,4.41351608005029e-05,9.25822043354536e-05,1.18319224038508e-05,2.03256878274e-05,5.08603842441775e-05,4.73095290355121e-05,5.61495181616417e-05,0.000110719604683655,-0.000260912786841964,-0.000285701053269593,0.000312798325636142,-8.25504561836643e-05,0.000653041571144055,-0.000520519821424833,0.000464691239795638,0.00106915377752248,0.000275809850660301,0.00105664282657846,0.000336517756286403,-0.000388851979699132,"4-hydroxyphenylacetic acid",2.23819153756196e-09
"4-imidazoleacetic acid",0,0,0,0,0.000650029070902825,0.00211473196276653,0.000569300746669555,0.000586849174497267,0.0011789682933663,0.00104179386872646,0.000557193009432675,0.000606855315130397,0.000472394002413604,0.00043097251301809,0.000418521112409946,0.00151083821975027,-0.000361388131554199,-0.00116283993717759,-0.00457920748955963,-0.0025424208508273,0.00286341843032853,0.000337418124600525,-0.0113595559633881,0.00254542948938009,0.00593357437959364,0.0364052521334935,-0.0636703921338712,-0.00361182656457211,-0.0577282730193582,0.0119032556157515,"4-imidazoleacetic acid",2.28263212625818e-06
"4-pyridoxic acid",0.000182234310765829,0.000229852904115283,0.000190273490681509,0.000309561715506314,0.00744418617788173,0.00159785424615395,0.00285843324452595,0.00222524815828749,0.00150198270314811,0.00106382578397561,0.000776726963338513,0.00154254070923307,0.000419407339441645,0.00117903546506083,0.00150173828072088,0.00256665080052434,0.00410437659888918,-0.00765945441327549,-0.0204366192087708,0.0309918133442534,-0.0163130148767549,-0.00170828779807246,-0.0215618874438393,-0.0526905985046429,-0.0349487395865431,0.00426275308007666,0.0387465491565217,0.0673683098964264,-0.0170638882890423,-0.0130968874862381,"4-pyridoxic acid",6.58769633183224e-06
"4-quinolinecarboxylic acid and/or isomers",0,0,0,0,0.00717503792452284,0.000710579248381968,0.000250806661083209,0.000199614845411212,0.00118196877701807,0.000879312831414804,0.00145359855046484,0.00101916132918534,0.000579501987141453,0.0010251772604464,0.00640740625089264,0.00123532413249059,0.00924363318157319,-0.00024946091908714,-0.0224621654067832,0.0198912058991643,-0.00105347068130804,-0.00568561101414195,-0.0119136044814805,-0.0621330210073801,-0.0406535520575697,-0.13322363951462,-0.140599015125332,-0.181929169458651,0.0135414800509454,0.00267521200741054,"4-quinolinecarboxylic acid and/or isomers",1.52602571231363e-06
"5-methylcytosine",6.39159355092946e-05,7.34558021382385e-05,7.25158779064987e-05,7.58252139388189e-05,0.000101934649603995,0.000732592262426726,0.000872898491686455,0.00117970693654244,0.00143419205230051,0.000354210235460152,0.000255551484364973,0.00075394037497864,0.000404474943949997,0.000956936977999569,0.000714034176891769,0.00121238145961133,0.000166804059922866,-0.0022643898233121,0.000216088177257723,-0.00638246910453015,0.00633310159390009,-0.00665678927306116,-0.00569672927237765,-0.00204550710855768,-0.00481728135197687,0.00600229671564531,0.0301952546540718,0.00351844913215567,0.00738149506599556,-0.00635240527603508,"5-methylcytosine",1.46986880360929e-06
