"","exudate-EOD-Arabidopsis-1-451-1","exudate-EOD-Arabidopsis-2-452-1","exudate-EOD-Arabidopsis-3-453-1","exudate-EOD-Arabidopsis-4-454-1","exudate-EOD-Arabidopsis-5-455-1","exudate-EOD-Arabidopsis-6-456-1","exudate-EOD-Arabidopsis-7-457-1","exudate-EOD-Arabidopsis-8-458-1","exudate-EOD-Brachy-1-433-1","exudate-EOD-Brachy-2-434-1","exudate-EOD-Brachy-3-436-1","exudate-EOD-Brachy-4-437-1","exudate-EOD-Brachy-5-438-1","exudate-EOD-Brachy-6-439-1","exudate-EOD-Brachy-7-440-1","exudate-EOD-Medicago-1-442-1","exudate-EOD-Medicago-2-444-1","exudate-EOD-Medicago-3-449-1","exudate-EOD-TxCtrl-1-441-1","exudate-EOD-TxCtrl-2-450-1","exudate-EOD-TxCtrl-3-459-1","exudate-EOD-TxCtrl-4-460-1","exudate-EON-Arabidopsis-1-451-2","exudate-EON-Arabidopsis-2-452-2","exudate-EON-Arabidopsis-3-453-2","exudate-EON-Arabidopsis-4-454-2","exudate-EON-Arabidopsis-5-455-2","exudate-EON-Arabidopsis-6-456-2","exudate-EON-Arabidopsis-7-457-2","exudate-EON-Arabidopsis-8-458-2","exudate-EON-Brachy-1-433-2","exudate-EON-Brachy-2-434-2","exudate-EON-Brachy-3-436-2","exudate-EON-Brachy-4-437-2","exudate-EON-Brachy-5-438-2","exudate-EON-Brachy-6-439-2","exudate-EON-Brachy-7-440-2","exudate-EON-Medicago-1-442-2","exudate-EON-Medicago-2-444-2","exudate-EON-Medicago-3-449-2","exudate-EON-TxCtrl-1-441-2","exudate-EON-TxCtrl-2-450-2","exudate-EON-TxCtrl-3-459-2","exudate-EON-TxCtrl-4-460-2"
"5-methylthioadenosine",319417.125,1017328.688,341416.8125,916052.9375,694465.4375,974493,501960.0625,798395.125,362205.75,303753.0625,267993.5313,254403.9531,350897.4063,406688.6875,103563.7188,95839.75781,75310.51563,109944.1797,0,23853.21875,23686.52539,24116.99219,173840.2969,274925.6875,267960.3438,75147.72656,114184.25,195992.3438,109972.0938,171368.375,55383.69141,70635.10938,0,72443.35938,89993.9375,59022.10547,0,73234.11719,70802.07813,38074.98438,0,28298.70703,0,0
"adenine",54652620.651564,246667436.651564,150887964.651564,219372252.651564,101526868.651564,196338828.651564,174168332.651564,182554940.651564,202300060.651564,158434412.651564,137174732.651564,171162988.651564,160086876.651564,170737804.651564,5245906.151564,26232212.651564,19215600.651564,30838254.651564,12318698.651564,18583296.651564,11369578.651564,5781456.651564,95169660.651564,120253244.651564,124379932.651564,137593612.651564,80114692.651564,143468652.651564,191392236.651564,154664892.651564,53376876.651564,45714132.651564,59928004.651564,61160376.651564,57774236.651564,51527204.651564,741584.026564,29766602.651564,12966769.651564,32720872.651564,7166337.151564,7349385.151564,3800802.401564,2243521.151564
"adenosine and isomers",24099124.679296,151875430.679296,80473510.679296,91437854.679296,10238637.679296,130261198.679296,79659910.679296,105569222.679296,6526137.679296,4777820.679296,4570463.179296,5632807.679296,3551181.679296,5429690.179296,711849.741796,20702098.679296,12287454.679296,23072264.679296,1710911.929296,3523867.679296,3735693.429296,1692536.804296,57854418.679296,63616086.679296,73476502.679296,62456326.679296,7676644.179296,63015506.679296,108173422.679296,73519254.679296,4103289.929296,3289029.429296,2974039.179296,4539448.179296,3757614.179296,4738015.179296,318387.366796,22861610.679296,17370984.679296,19253542.679296,8655796.679296,8845851.679296,2403234.929296,1663640.804296
"agmatine sulfuric acid",2206781.724218,6534905.724218,1525923.099218,4858587.224218,4705212.224218,4192984.724218,2877228.224218,10046701.724218,123247.653918,48600.259378,81330.192968,144219.739818,292250.974218,99630.075818,0,4287518.724218,6206001.724218,21398711.724218,0,380383.349218,122321.193018,0,958453.286718,3556499.974218,1590607.724218,1873841.849218,2944359.724218,9462613.724218,2833624.724218,2946049.224218,22991.927348,114802.935118,80329.560158,90243.974218,148517.271118,137990.849218,0,5788955.724218,47020879.724218,36623043.724218,0,0,110804.349218,0
"alanine",413949.7156254,2168267.7781254,136320.8406254,97596.6453254,54317.7000054,626046.7781254,110070.8875254,124091.1062254,5825.1531254,0,5491.1453134,10199.8230454,10781.1707054,2602.4773444,6858.7126954,11231.4158254,14362.9070354,14643.5242154,3042.8206054,12876.7019554,21390.0808554,11187.2312554,59800.4148454,1993582.0281254,332228.4344254,111190.4500254,180022.9344254,827200.6531254,122932.0437254,52518.9617154,8251.1287154,25486.2917954,37185.4187554,2497.5691414,8509.3582054,24602.3113254,11250.6550754,6277.8220704,27115.6726554,23757.8152354,0,7261.1658254,7646.6228554,0
"allantoin",133980.9375,633204,699958,986417.75,491800.5938,676558.375,303551.0938,444963.375,265954.2188,497328.9375,414423.125,237586.4688,86818.59375,337425.1875,335186.5625,334828.4688,226323.3438,127056.2344,16427.49023,23048.45117,14377.10156,0,128942.4219,114072.8984,77156.95313,180058.9844,50912.49609,228500.3125,237504.4688,299865.5,165840.2813,52687.14063,67104.16406,161475.4375,326610.5938,159304.8594,107207.4453,367278.8125,125178.7656,56850.31641,7297.164551,9381.779297,0,0
"alpha-aminoadipic acid",134530.8733648,130370.9358648,102287.3420648,141923.1545648,137146.5452648,177581.3420648,50417.6389648,185109.3420648,0,0,0,0,0,0,0,0,0,20912.4260748,0,0,0,0,34577.7209948,47307.1428748,79013.8733448,35486.2366248,27463.1350548,110923.4670648,59044.9397448,21079.4573248,16463.2678748,0,0,0,0,0,0,7784.4084958,10261.7649448,0,0,0,3006.4182618,0
"arginine",4386237.896866,2006966.146866,14811417.396866,15013826.396866,2385734.646866,19169066.396866,8023482.396866,5733738.896866,155051.615666,133767.334366,162560.803166,121046.084366,135578.240666,135801.834366,249064.334366,922332.896866,1129714.646866,786956.584366,0,240282.709366,310849.271866,226185.615666,3271227.146866,8197041.396866,5743158.396866,5940781.896866,2911996.646866,22586100.396866,6297733.896866,5396702.396866,74059.240666,250010.896866,220496.865666,197729.615666,132729.084366,236370.678166,0,882229.834866,10460209.396866,3259074.896866,120942.740666,396504.459366,388636.771866,266003.021866
"asparagine",1526316.8289064,2746440.9539064,1045077.0789064,1102573.8289064,402221.0164064,4159674.4539064,815432.7039064,1102225.5789064,230741.5789064,77712.4227064,96188.6570064,107610.4539064,78828.8602064,90291.5164064,19054.1179664,7658229.4539064,7377205.4539064,3555564.7039064,0,82119.9227064,0,0,354824.3602064,2779783.4539064,2520926.2039064,1121131.3289064,1221565.2039064,1414760.7039064,1608443.5789064,364727.3289064,116235.0477064,441932.2039064,358676.8602064,195054.6883064,94558.7664064,346806.5477064,42730.9070364,5512586.4539064,13105844.9539064,12788809.9539064,0,0,7740.0281264,0
"aspartic acid",17847065.348828,329129.911328,475648.661328,177002.317628,686077.661328,2075230.348828,682119.973828,716889.723828,44957.372268,12891.364458,62420.466028,23833.880078,283995.348828,63548.809728,31628.700388,120910.114428,66768.966028,51926.747268,9579.016798,22101667.348828,26698171.348828,11893796.348828,2489230.848828,7688010.848828,10132424.348828,2400854.098828,3286242.098828,1232607.848828,5845708.348828,560603.973828,95196.567628,160838.770728,920076.223828,36126.716018,0,31257.137888,39950.137888,35304.981638,180260.083228,277527.505128,209668.426928,263488.661328,2516914.848828,349507.067628
