,root-EOD-Arabidopsis-1-451-3-R,root-EOD-Arabidopsis-2-452-3-R,root-EOD-Arabidopsis-3-453-3-R,root-EOD-Arabidopsis-4-454-3-R,root-EOD-Arabidopsis-5-455-3-R,root-EOD-Arabidopsis-6-456-3-R,root-EOD-Brachy-1-433-3-R,root-EOD-Brachy-2-434-3-R,root-EOD-Brachy-3-436-3-R,root-EOD-Brachy-4-437-3-R,root-EOD-Brachy-5-438-3-R,root-EOD-Brachy-6-439-3-R,root-EOD-Medicago-1-442-3a-R,root-EOD-Medicago-2-442-3b-R,root-EOD-Medicago-3-444-3a-R,root-EOD-Medicago-4-449-3a-R,root-EOD-Medicago-5-449-3b-R,root-EON-Arabidopsis-1-451-4-R,root-EON-Arabidopsis-2-452-4-R,root-EON-Arabidopsis-3-453-4-R,root-EON-Arabidopsis-4-454-4-R,root-EON-Arabidopsis-5-455-4-R,root-EON-Arabidopsis-6-456-4-R,root-EON-Brachy-1-433-4-R,root-EON-Brachy-2-434-4-R,root-EON-Brachy-3-436-4-R,root-EON-Brachy-4-437-4-R,root-EON-Brachy-5-438-4-R,root-EON-Brachy-6-439-4-R,root-EON-Medicago-1-442-4c-R,root-EON-Medicago-2-444-4b-R,root-EON-Medicago-3-444-4c-R,root-EON-Medicago-4-449-4c-R
1-methyl-6,7-dihydroxy-1,2,3,4-tetrahydroisoquinoline,0.000336455901002966,0.000248396500032277,0.000218041133499906,0.000534797239125863,0.000300504383906961,0.000238454134959491,1.00010440678752e-05,0,8.19707257013133e-06,1.30114360217343e-05,6.88144033704795e-06,9.12022997239837e-06,1.76270795603655e-05,1.62245229260647e-05,1.12699388930053e-05,1.12383313676854e-05,1.26602797634659e-05,0.00021039272123115,0.000402826219025253,0.00024226390913866,0.000369389264096417,0.000360125514665899,2.33880693261916e-05,0,1.83576863568777e-05,0.000146627265276943,8.83669559365883e-06,1.52422883583718e-05,0,1.26889591342631e-05,0,2.58122616828917e-05,2.20400431929998e-05
2-amino-2-methylpropanoic acid,1.30701562449974e-05,1.10323809673927e-05,0,1.62603474825529e-05,0,9.92679407117072e-06,0.000311556645920749,0.000238210226261393,0.000335493913620816,0.00012043172253546,0.000103693450458379,0.000220412726873196,0,0,4.77004819240154e-06,5.53038431034838e-06,0,0,1.44272648722949e-05,8.47995112576635e-06,1.33517431092154e-05,1.25649941671582e-05,0.000479980690790201,0.000152268890522937,0.000150979413824791,0.000148039644489623,0.000183282395924519,0.000153502811560006,0.000142597397994273,0,0,0,0
2-phosphoglyceric acid,0,0,0,0,0,0,0,0,8.70854625081382e-06,0,6.56097800015485e-06,0,0,7.79452910675852e-06,0,1.04923133614283e-05,4.48729080843178e-06,0,0,0,0,0,5.02142870243842e-06,0,9.43768098776184e-06,0,3.3916202736166e-06,4.14354891921935e-06,0,3.98461514196307e-06,7.41106274149158e-06,6.40930624947455e-06,0
2-deoxyadenosine,0.000112623234830342,8.44661058285823e-05,5.36948973051556e-05,7.43208377778336e-05,4.09365427290612e-05,0.000148241665176574,2.40653674829703e-05,4.16048108939492e-05,3.14085246687619e-05,3.04464196974937e-05,3.40989577663203e-05,2.96556065533222e-05,6.66858076782094e-06,1.12138900858551e-05,6.58273124238083e-05,8.95610741937927e-06,1.07784264788497e-05,7.17036611046348e-05,8.46921269947333e-05,5.42841670543706e-05,9.50844040424001e-05,5.85490634225698e-05,3.78310619614919e-05,1.6107456714466e-05,4.83681862626462e-05,5.70966849408301e-05,3.06100969339329e-05,2.48962856631711e-05,2.55484156606171e-05,1.80187827545209e-05,5.32439067033974e-05,3.19709314509855e-06,3.98172183323426e-06
2-deoxyguanosine,2.49760326547583e-05,2.16046085525835e-05,3.4915809041317e-05,0,1.74319962838535e-05,0.000206812943215083,1.30717715444738e-05,5.7442465323728e-05,5.29233455619231e-05,2.1059491150131e-06,7.30308993027655e-07,0.000140928993828292,2.87192664901782e-05,2.68195647561363e-05,3.12907304668596e-05,3.17530250714529e-05,4.42593790642932e-05,8.22386070888416e-06,7.81757129046234e-06,4.46560030376358e-05,6.61054234344512e-06,5.77254586020721e-06,0.000122131505685053,1.29498790058019e-05,0.000116357145515801,5.73511974793322e-06,0.000171286955837868,0.000131955531972278,3.01289865316644e-05,5.13293569679822e-05,1.56721383833925e-05,3.72779884643792e-05,5.27825315849964e-06
3-dehydroshikimic acid and or isomers,0.00061517122963763,0.000294435675675231,0.000480927563444248,0.000172344202370581,0.000127487081268626,0.000821919550339651,0.000191109564219541,0.000258774872261925,0.00032109447061175,0.000206638970591479,0.000148792865446601,0.000264803900659775,5.92903641910039e-05,5.33529170404863e-05,0.000153999672799768,9.50458541964627e-05,9.98410418959589e-05,0.000199119966420226,0.000336364625215237,0.000348334378381208,0.000338468775664157,0.000339474861913358,0.00027092899161064,0.00018055740221861,0.000412089543097598,0.000284525929794214,0.000291255564680283,0.000397509302430487,0.000222191592905903,0.000130505235519341,9.07045031611678e-05,4.24146956442585e-05,6.84954573792074e-05
3-hydroxyanthranilic acid,2.02940568271193e-05,2.25432979863169e-05,1.47365222851751e-05,1.86070556484601e-05,1.86657099874781e-05,3.27592484379012e-05,0.000204739748964721,0.000286212482079333,0.000263319303728113,0.00018349299970292,0.000127544937766469,0.000248197057466346,2.34753649467826e-05,2.02695339822156e-05,2.11636317285089e-05,1.99442838913148e-05,2.4725450053033e-05,9.75723886452443e-06,1.77147232270139e-05,1.48064618381339e-05,1.3926193382334e-05,1.02311316568023e-05,0.000202455351647539,0.000179062250284975,0.000447317430382349,4.12551342901997e-05,0.000256752537511613,0.000182617297983945,0.000239983281157078,3.03216282101781e-05,1.63067476213761e-05,1.73282674022845e-05,1.37670759809429e-05
isomer of 3-methoxy-4-hydroxymandelic acid,3.6894120968997e-06,2.81658492495485e-06,2.00107054840662e-06,4.23899051212843e-06,2.29440779047667e-06,3.95294472382772e-06,0.000342602389268379,0.000308087315226134,0.000341405712614674,0.000244502173504523,0.000188604024659759,0.000293060074178915,0,1.58703845739855e-06,0,0,0,2.75016218415735e-06,5.69251741472226e-06,3.92308528763005e-06,5.55361727336112e-06,0,0.000240661146713781,0.000229307998681861,0.000387832174868942,3.46175659469978e-05,0.000332540899240248,0.000190517626971562,0.00033485199635958,2.65216622028206e-06,3.64053847804061e-06,0,0
3-methoxytyramine and or isomers,0.00061517122963763,0.000294435675675231,0.000480927563444248,0.000172344202370581,0.000127487081268626,0.000821919550339651,0.000191109564219541,0.000258774872261925,0.00032109447061175,0.000206638970591479,0.000148792865446601,0.000264803900659775,5.92903641910039e-05,5.33529170404863e-05,0.000153999672799768,9.50458541964627e-05,9.98410418959589e-05,0.000199119966420226,0.000336364625215237,0.000348334378381208,0.000338468775664157,0.000339474861913358,0.00027092899161064,0.00018055740221861,0.000412089543097598,0.000284525929794214,0.000291255564680283,0.000397509302430487,0.000222191592905903,0.000130505235519341,9.07045031611678e-05,4.24146956442585e-05,6.84954573792074e-05
3-methyglutaric acid,7.36710534708845e-05,3.56082458568118e-05,2.05313640298449e-05,4.23096399927266e-05,2.56258404043743e-05,3.81542980774494e-05,1.98632413183501e-05,1.67169999591962e-05,1.65749055142241e-05,2.36059275618736e-05,1.82439624420804e-05,1.63304966710174e-05,3.93875730621936e-06,7.79835170629128e-06,2.47358633141322e-06,3.30302541665569e-06,4.44339413146466e-06,3.19549129911414e-05,5.0155507591597e-05,2.78470627820973e-05,2.79466975543208e-05,3.66045530898426e-05,2.19490566126001e-05,2.13341941206176e-05,1.92890970764276e-05,2.02748133387131e-05,2.14199748879732e-05,1.78426688525185e-05,2.35657917423468e-05,5.65889577071141e-06,8.0835823104168e-06,2.24884087187322e-06,9.07885088938621e-06
