"","id","group","Azoles","Benzene and substituted derivatives","Carboximidic acids and derivatives","Carboxylic acids and derivatives","Diazines","Fatty Acyls","Imidazopyrimidines","Indoles and derivatives","Organonitrogen compounds","Organooxygen compounds","Pteridines and derivatives","Purine nucleosides","Pyridines and derivatives","Pyrimidine nucleosides","Quinolines and derivatives","Tetrapyrroles and derivatives","Unknown"
"16","root.EOD.Medicago.4.449.3a.R","root.Medicago",7.55590744696831e-05,0.00185993314497756,0,0.0157065713248978,0.122567214076045,0.159311062315395,0.000593304944683607,0.0721804776820875,3.95686904427972e-05,0.0137085322746292,0.000270111890107596,0.00156372503159186,8.02795159184828e-05,0.000208982154626555,0.00179557323622126,2.73158281053569e-05,0.610011788815801
"17","root.EOD.Medicago.5.449.3b.R","root.Medicago",7.1593332128764e-05,0.00251078633389052,0,0.0188277645864958,0.137781554239766,0.190364079000003,0.000372525884476566,0.0617859254733688,3.79200108112986e-05,0.010839619359241,0.000553061371681649,0.00171650160337295,7.06039308485987e-05,0.000235762484546314,0.001944142982585,2.47237968922867e-05,0.572863435609892
"18","root.EON.Arabidopsis.1.451.4.R","root.Arabidopsis",4.17418728233527e-05,0.000912149045640737,0,0.0182543683561455,0.164009865642617,0.00203336955400191,4.44892883573564e-05,0.0499239192302908,5.26071818656603e-05,0.0206760348955311,0.00132660907255462,0.000658243662518089,0.000809023112866551,0.000231290324017943,0,1.43140132000851e-05,0.741011974747569
"19","root.EON.Arabidopsis.2.452.4.R","root.Arabidopsis",2.88404247109113e-05,0.000927911436714403,0,0.0208435003472326,0.232742901813855,0.00319540314224288,7.34383693935136e-05,0.0134483158312954,6.5355095892606e-05,0.0170737948425615,0.0006548598673015,0.000986210746100939,0.000276844427504382,0.000257849444375394,0,1.17610357884692e-05,0.70941301317503
"20","root.EON.Arabidopsis.3.453.4.R","root.Arabidopsis",2.33019211492711e-05,0.000888573972009121,0,0.0122802884589111,0.168222376820597,0.013511711709161,0.00053107233266027,0.0113455556135075,8.35475974467591e-05,0.0282735944359177,0.000666472726291019,0.000446706883825539,0.00037894224068691,0.000213487734857077,0,1.21223374844322e-05,0.763122245215495
"21","root.EON.Arabidopsis.4.454.4.R","root.Arabidopsis",3.42229326208908e-05,0.00192527740764382,0,0.0213210598501227,0.216684558145705,0.00517730872542841,0.000105273439902773,0.00582800856325372,0.00012679065311139,0.0157498528940787,0.0008324463705874,0.000687643302814226,0.000405626196580305,0.00022628600364097,0,1.67298913045801e-05,0.730878915623205
"22","root.EON.Arabidopsis.5.455.4.R","root.Arabidopsis",3.44317915700244e-05,0.000927291775091669,8.40966084268545e-08,0.0239904667013137,0.245501496805817,0.00326596485812801,8.22606001286168e-05,0.0124413488729238,0.000110334791597437,0.0224950715518202,0.00115082684838171,0.000741652688669596,0.000466758134516382,0.000342435287894794,0,9.83952886410506e-06,0.688439735666674
"23","root.EON.Arabidopsis.6.456.4.R","root.Arabidopsis",3.537546780557e-05,0.00278691830185123,0,0.011804382077999,0.178966878548889,0.203225051966367,0.000805207337283321,0.0309194979624133,0.00149024471941189,0.040919257367805,0.000116709371402158,0.00126437904273065,0.000259516416749723,0.00167260936988296,0.00284660730362144,1.6453721187438e-05,0.522870911024601
"24","root.EON.Brachy.1.433.4.R","root.Brachy",4.28948893339905e-05,0.00226243100015973,0,0.0140154092505877,0.158058568999519,0.18077938403816,0.000944783924809335,0.039773106117927,0.000267081559338555,0.0194350459315397,0.000179747810527546,0.00255555352570452,0.000396301456758323,0.00052148950689332,0.00402137816467821,1.0144618870445e-05,0.576736679205193
"25","root.EON.Brachy.2.434.4.R","root.Brachy",2.74517910634403e-05,0.00289423085424905,0,0.0127687938833844,0.114387994768788,0.154555811080236,0.00101996007909905,0.0128503026155028,0.000792162247992801,0.0339262245014826,0.000106754163169061,0.00128465243070001,0.000192296884853917,0.000273446765974274,0.00311778798925858,1.87105910946326e-05,0.661783419353151
"26","root.EON.Brachy.3.436.4.R","root.Brachy",3.27176643074759e-05,0.0012571448355824,0,0.0220862877952596,0.209971834287192,0.0164661735431005,8.5161146987791e-05,0.026787975847923,0.000135754246169191,0.0221281026065475,0.000864331277194244,0.000898102415223185,0.000586942144684318,0.00049836258637496,0.000757127167006254,9.04124316495456e-06,0.697434941193283
"27","root.EON.Brachy.4.437.4.R","root.Brachy",3.67169039501394e-05,0.00253546500229721,0,0.0112310924480602,0.12940744240517,0.25025230733846,0.000784929992982275,0.0282992492567906,0.000333058343541517,0.0337162624324269,0.000113263817280768,0.00109288029247087,0.000317824756031145,0.00034142482029741,0.00410402594446396,2.2717823134178e-05,0.537411338422643
"28","root.EON.Brachy.5.438.4.R","root.Brachy",2.28170900319375e-05,0.00150574194612719,0,0.0110392115839875,0.108419422623575,0.198413805943986,0.00047784350678102,0.0527379846434187,0.000364207512929238,0.044255883482233,0.000101214094158597,0.00100687836789281,0.000143992505306627,0.000272601778700683,0.0025832225035134,1.75485978431628e-05,0.578637623819515
"29","root.EON.Brachy.6.439.4.R","root.Brachy",6.16088743178481e-05,0.00346397632322476,0,0.0175770882943263,0.163710080885693,0.144704159768868,0.00196197481026075,0.0245163159928524,0.00028828681610816,0.0244845514238122,0.000155487755402481,0.00436203115815495,0.000392157173972463,0.000607412052953175,0.0043161084573894,1.01481727688293e-05,0.609388612039896
"30","root.EON.Medicago.1.442.4c.R","root.Medicago",8.98880105687631e-05,0.0019184288597029,0,0.0148013203382017,0.119349465284118,0.195660825183601,0.000550722118215842,0.037396457790416,3.12032467470951e-05,0.0126464708635325,0.000330210900070246,0.00133037335066508,0.000140060401091177,0.000157520895319109,0.00145759785656628,2.04769466172323e-05,0.614118977954567
