"","id","group","Alcohols and polyols","Alloxazines and isoalloxazines","Amines","Amino acids, peptides, and analogues","Benzoic acids and derivatives","Bilirubins","Carbohydrates and carbohydrate conjugates","Carboximidic acids","Dicarboxylic acids and derivatives","Fatty acids and conjugates","Hydroxyindoles","Imidazoles","Indolyl carboxylic acids and derivatives","Purines and purine derivatives","Pyridinecarboxylic acids and derivatives","Pyridoxamines","Pyrimidine 2-deoxyribonucleosides","Pyrimidines and pyrimidine derivatives","Quinoline carboxylic acids","Tryptamines and derivatives","Unknown"
"20","root.EON.Arabidopsis.3.453.4.R","root.Arabidopsis",0.02613540129471,0.000666472726291019,8.35475974467591e-05,0.0122619288843218,0.000888573972009121,1.21223374844322e-05,0.00213819314120777,0,1.83595745892733e-05,0.013511711709161,0.00124896005587,2.33019211492711e-05,0.0100924662217129,0.00053107233266027,5.53004907053413e-05,0.000323641749981569,0.000119997163361842,0.168222376820597,0,4.12933592462163e-06,0.763662442670816
"21","root.EON.Arabidopsis.4.454.4.R","root.Arabidopsis",0.0146970087039633,0.0008324463705874,0.00012679065311139,0.0212556985441729,0.00192527740764382,1.67298913045801e-05,0.0010528441901154,0,6.53613059497195e-05,0.00517730872542841,0.00414882582848577,3.42229326208908e-05,0.00167918273476795,0.000105273439902773,1.46589880622013e-05,0.000390967208518103,0.00022628600364097,0.216684558145705,0,0,0.731566558926019
"22","root.EON.Arabidopsis.5.455.4.R","root.Arabidopsis",0.020434699473939,0.00115082684838171,0.000110334791597437,0.023943147686623,0.000927291775091669,9.83952886410506e-06,0.00206037207788118,8.40966084268545e-08,4.73190146907713e-05,0.00326596485812801,0.00190528055142607,3.44317915700244e-05,0.0105360683214977,8.22606001286168e-05,4.39057663761443e-05,0.000422852368140238,0.000309217090902201,0.245501496805817,0,0,0.689214606552337
"23","root.EON.Arabidopsis.6.456.4.R","root.Arabidopsis",0.0406350553932714,0.000116709371402158,0.00149024471941189,0.011787583297182,0.00278691830185123,1.6453721187438e-05,0.000284201974533565,0,1.6798780816991e-05,0.203225051966367,0.00236886508481879,3.537546780557e-05,0.0285471417098308,0.000805207337283321,2.65053728775396e-05,0.000233011043872183,0.000176468371846211,0.178966878548889,0.00284660730362144,3.49116776368239e-06,0.525631431065368
"24","root.EON.Brachy.1.433.4.R","root.Brachy",0.0194262078194447,0.000179747810527546,0.000267081559338555,0.0139642863444513,0.00226243100015973,1.0144618870445e-05,8.83811209499419e-06,0,5.11229061364232e-05,0.18077938403816,0.00319906479851807,4.28948893339905e-05,0.0365717431061616,0.000944783924809335,1.88970079233463e-06,0.000394411755965989,0.000196814772174244,0.158058568999519,0.00402137816467821,2.2982132472896e-06,0.579616907465617
"25","root.EON.Brachy.2.434.4.R","root.Brachy",0.0338484002824451,0.000106754163169061,0.000792162247992801,0.0127225716858378,0.00289423085424905,1.87105910946326e-05,7.78242190375233e-05,0,4.62221975466167e-05,0.154555811080236,0.00306100703423685,2.74517910634403e-05,0.00978875749316528,0.00101996007909905,1.08440347083214e-05,0.000181452850145596,0.000169547905709067,0.114387994768788,0.00311778798925858,5.38088100689333e-07,0.663171970644117
"26","root.EON.Brachy.3.436.4.R","root.Brachy",0.0207179713610936,0.000864331277194244,0.000135754246169191,0.0220488011575193,0.0012571448355824,9.04124316495456e-06,0.00141013124545392,0,3.74866377403099e-05,0.0164661735431005,0.00276749926434121,3.27176643074759e-05,0.0240204765835818,8.5161146987791e-05,3.77913789117349e-05,0.000549150765772583,0.000201745872803237,0.209971834287192,0.000757127167006254,0,0.698629660322078
"27","root.EON.Brachy.4.437.4.R","root.Brachy",0.0336704007059414,0.000113263817280768,0.000333058343541517,0.0112105692210609,0.00253546500229721,2.2717823134178e-05,4.58617264854886e-05,0,2.05232269992831e-05,0.25025230733846,0.00291410355643114,3.67169039501394e-05,0.0253804424852365,0.000784929992982275,7.1786939968588e-06,0.000310646062034286,0.000175097977197593,0.12940744240517,0.00410402594446396,4.70321512290114e-06,0.538670545558214
"28","root.EON.Brachy.5.438.4.R","root.Brachy",0.0442261765075081,0.000101214094158597,0.000364207512929238,0.0110245561876089,0.00150574194612719,1.75485978431628e-05,2.97069747249068e-05,0,1.46553963785804e-05,0.198413805943986,0.00179679612701242,2.28170900319375e-05,0.0509411885164063,0.00047784350678102,5.63894699795236e-06,0.000138353558308674,0.000109483393520318,0.108419422623575,0.0025832225035134,0,0.579807620572589
"29","root.EON.Brachy.6.439.4.R","root.Brachy",0.024475771787187,0.000155487755402481,0.00028828681610816,0.0175251097261049,0.00346397632322476,1.01481727688293e-05,8.77963662519754e-06,0,5.19785682213756e-05,0.144704159768868,0.00399362479666577,6.16088743178481e-05,0.0205226911961866,0.00196197481026075,2.59101329238594e-06,0.000389566160680077,0.000309597432231817,0.163710080885693,0.0043161084573894,0,0.614048457818772
"30","root.EON.Medicago.1.442.4c.R","root.Medicago",0.0126338025132687,0.000330210900070246,3.12032467470951e-05,0.0147765975285074,0.0019184288597029,2.04769466172323e-05,1.2668350263863e-05,0,2.47228096943147e-05,0.195660825183601,0.00585024846476471,8.98880105687631e-05,0.0315384311892317,0.000550722118215842,3.48953571209092e-05,0.000105165043970268,1.38401660213213e-05,0.119349465284118,0.00145759785656628,7.77813641962374e-06,0.61559303203453
"31","root.EON.Medicago.2.444.4b.R","root.Medicago",0.00829378375506245,0.000922473802600166,3.28515395956096e-05,0.0254545289134161,0.00296760189513312,2.65470471418062e-05,2.14424952679826e-05,0,2.16016908578409e-05,0.045511649527257,0.00516183851446103,0.000106930631967797,0.0677053380156179,0.000605422801209513,1.92513006953095e-05,0.000226043374326285,3.15015603104031e-05,0.199508204931542,0.00348117933901987,0,0.639901808864518
"32","root.EON.Medicago.3.444.4c.R","root.Medicago",0.0103685026386059,0.000121463201518557,1.94520189928529e-05,0.0131227092588328,0.00115281859286672,1.69020765242909e-05,1.27853324999868e-05,0,1.65873187956555e-05,0.141376212692259,0.00197626432388129,3.71274009661856e-05,0.0273231618616535,0.00211431458419954,2.3199588996117e-05,3.73899404992844e-06,3.79398886999353e-06,0.105121439814327,0.00110630241270186,2.7175717134077e-05,0.696056048182325
"33","root.EON.Medicago.4.449.4c.R","root.Medicago",0.00580821262356084,0.00056325184166546,1.86530572966837e-05,0.0236725043999987,0.00347156373141548,1.83657328043674e-05,1.14632331954556e-05,0,2.52928437352616e-05,0.0434846980929257,0.00578250902071277,7.26225664778899e-05,0.0683411467145362,0.000935717275629552,2.99197780593422e-05,7.41532819105246e-05,1.25152651986384e-05,0.162065058049404,0.00245348522889514,2.15599724339345e-07,0.683158651662853
"34","shoot.EOD.Arabidopsis.1.451.3.S","shoot.Arabidopsis",0.067080759711843,0.000237745152094295,0.000130587081626735,0.00263895607261445,0.00110179862250488,2.454521212243e-05,0.00406188166934694,0,5.02198563728001e-06,0.0276935158730761,0.0016126570106199,2.29267948121535e-05,0.0380709497586305,0.000173793971875763,6.89515143675467e-05,0.000113632846024058,2.34915311038629e-05,0.0115336101875834,0,5.04936003103171e-06,0.845400125644086
"35","shoot.EOD.Arabidopsis.2.452.3.S","shoot.Arabidopsis",0.0392526984274285,0.000364289097309722,0.000119009735877107,0.0033733213032385,0.00655733032982083,1.68275405718379e-05,0.00151743050463127,0,4.33056852323154e-05,0.0103259620862842,0.00373525355109862,5.32985414680108e-05,0.0208455555266513,0.000780205604400434,0.000237306557271811,0.000267113834738214,4.21059627754412e-05,0.0835628466193047,0,0,0.828906139091897
"36","shoot.EOD.Arabidopsis.3.453.3.S","shoot.Arabidopsis",0.0530760510619917,0.000174727462745891,0.000132278962665598,0.00694371812291667,0.00258640315379913,2.40681511931781e-05,0.00255947279527686,0,6.10419043915379e-05,0.0170380656758594,0.0015152184142288,2.56174008507636e-05,0.0156664672039779,0.0014774324448868,0.000647501149050728,8.52764356142714e-05,3.05070241864343e-05,0.0859214688389608,0,5.22421978619956e-06,0.812029459577617
"37","shoot.EOD.Arabidopsis.4.454.3.S","shoot.Arabidopsis",0.0305873442808042,0.000280048116265776,0.000146438356828509,0.00228981971454722,0.00686934638782685,1.69696543057315e-05,0.000677667732619487,0,8.38669016499403e-06,0.0122814461804544,0.00584509200708918,8.38223054474068e-05,0.00362410522041424,0.000217379683458731,9.64820702945335e-05,0.00034156671708354,4.23850901768906e-05,0.0279773420624471,2.4410541624669e-05,0,0.908589947188147
"38","shoot.EOD.Arabidopsis.5.455.3.S","shoot.Arabidopsis",0.046448491999935,0.000207477945561033,0.000131700990778159,0.00194524818016782,0.00812962319172984,1.87339192971267e-05,0.00101213600973775,0,7.30717478803231e-06,0.0426024725988648,0.00527316352828278,3.50052194043999e-05,0.00249056652134993,0.000303907986658355,0.000112797461532533,0.000186029469086705,4.10520325592778e-05,0.00387068363212458,0,0,0.887183602138142
"39","shoot.EOD.Arabidopsis.6.456.3.S","shoot.Arabidopsis",0.039767702875072,0.00128545929242925,0.000151212891591833,0.00534760891231483,0.00146001390448847,1.88654156781326e-05,0.00588631479909896,1.99935300322287e-06,1.07289472829801e-05,0.00524927692241384,0.00252535689972839,7.44801305711259e-05,0.0542742801552409,0.000218540064178337,9.56151554336808e-05,0.000399600758343593,7.0390444657184e-05,0.0245035837449731,0,0,0.8586589693335
"40","shoot.EOD.Brachy.1.433.3.S","shoot.Brachy",0.0241322434070067,0.000315416193760033,0.000606734068337541,0.0101844074466954,0.0115973637860049,5.59776274583922e-05,1.6550782062535e-05,0.000554531084035843,0.000467802377488358,0.0103093419597438,0.00320027337026009,0.000203003302169438,0.110288185036371,0.000298024654293612,0.000529200515116296,0.00108307463492639,0.000232305485958277,0.0801933617642105,0.000763481876870331,6.17777649083087e-05,0.744906942862322
"41","shoot.EOD.Brachy.2.434.3.S","shoot.Brachy",0.015930325498393,0.000263686421056782,0.000336992278682666,0.0122865044400861,0.0175101568423732,4.1169010499517e-05,8.8733816626193e-06,0.00037417498861171,0.00130485517649617,0.00821510536218427,0.00299907832492267,0.000144460556151933,0.0561120477944071,0.000360900761846643,0.000558378807627129,0.000811101955159745,0.000232738114108294,0.133901449263946,0.000127408182147371,2.37346879327817e-05,0.748456858151705
"42","shoot.EOD.Brachy.3.436.3.S","shoot.Brachy",0.055570891500906,0.000307076097325908,0.000438168773400836,0.00788355499710096,0.0084512984883779,8.82796315480525e-05,2.68457079837813e-05,0.000309772901687336,0.000625568421982692,0.0384383545295247,0.00253484696851766,0.000120243446272685,0.0813040695075691,0.000385140627406323,0.000761811586745797,0.000853718089873341,0.000119463332270194,0.034433914633159,0.000309058311714577,0.000217591121288169,0.766820331325345
