"","id","group","Alkaloids and derivatives","Benzenoids","Lipids and lipid-like molecules","Nucleosides, nucleotides, and analogues","Organic acids and derivatives","Organic nitrogen compounds","Organic oxygen compounds","Organoheterocyclic compounds","Unknown"
"15","root.EOD.Medicago.3.444.3a.R","root.Medicago",0.00352333225658827,0.00198930190948784,0.182146260776397,0.00147015021262302,0.0159480321452774,2.59709909412459e-05,0.013707333455683,0.188048837943601,0.593140780309402
"16","root.EOD.Medicago.4.449.3a.R","root.Medicago",0.00286097517021199,0.00185993314497756,0.159311062315395,0.00177270718621842,0.0157065713248978,3.95686904427972e-05,0.0137085322746292,0.197589836247638,0.607150813645589
"17","root.EOD.Medicago.5.449.3b.R","root.Medicago",0.00326307968666467,0.00251078633389052,0.190364079000003,0.00195226408791926,0.0188277645864958,3.79200108112986e-05,0.010839619359241,0.202604131011747,0.569600355923227
"18","root.EON.Arabidopsis.1.451.4.R","root.Arabidopsis",0.00423456074958094,0.000912149045640737,0.00203336955400191,0.000889533986536032,0.0182543683561455,5.26071818656603e-05,0.0206760348955311,0.21616996223271,0.736777413997988
"19","root.EON.Arabidopsis.2.452.4.R","root.Arabidopsis",0.00349035916411852,0.000927911436714403,0.00319540314224288,0.00124406019047633,0.0208435003472326,6.5355095892606e-05,0.0170737948425615,0.247236961769849,0.705922654010912
"20","root.EON.Arabidopsis.3.453.4.R","root.Arabidopsis",0.00438327655428707,0.000888573972009121,0.013511711709161,0.000660194618682616,0.0122802884589111,8.35475974467591e-05,0.0282735944359177,0.181179843992376,0.758738968661208
"21","root.EON.Arabidopsis.4.454.4.R","root.Arabidopsis",0.00313600428527565,0.00192527740764382,0.00517730872542841,0.000913929306455197,0.0213210598501227,0.00012679065311139,0.0157498528940787,0.223906865539955,0.727742911337929
"22","root.EON.Arabidopsis.5.455.4.R","root.Arabidopsis",0.00386098489143732,0.000927291775091669,0.00326596485812801,0.00108408797656439,0.0239905507979222,0.000110334791597437,0.0224950715518202,0.259686962582202,0.684578750775237
"23","root.EON.Arabidopsis.6.456.4.R","root.Arabidopsis",0.0108508429552156,0.00278691830185123,0.203225051966367,0.00293698841261361,0.011804382077999,0.00149024471941189,0.040919257367805,0.213966246129352,0.512020068069385
"24","root.EON.Brachy.1.433.4.R","root.Brachy",0.0170818166512435,0.00226243100015973,0.18077938403816,0.00307704303259784,0.0140154092505877,0.000267081559338555,0.0194350459315397,0.203426925982423,0.55965486255395
"25","root.EON.Brachy.2.434.4.R","root.Brachy",0.00753245200380529,0.00289423085424905,0.154555811080236,0.00155809919667429,0.0127687938833844,0.000792162247992801,0.0339262245014826,0.131721258882829,0.654250967349346
"26","root.EON.Brachy.3.436.4.R","root.Brachy",0.00771777416144224,0.0012571448355824,0.0164661735431005,0.00139646500159814,0.0220862877952596,0.000135754246169191,0.0221281026065475,0.23909513077846,0.68971716703184
"27","root.EON.Brachy.4.437.4.R","root.Brachy",0.0060021857701839,0.00253546500229721,0.25025230733846,0.00143430511276828,0.0112310924480602,0.000333058343541517,0.0337162624324269,0.163086170899803,0.531409152652459
"28","root.EON.Brachy.5.438.4.R","root.Brachy",0.00807581574910989,0.00150574194612719,0.198413805943986,0.0012794801465935,0.0110392115839875,0.000364207512929238,0.044255883482233,0.164504045564629,0.570561808070405
"29","root.EON.Brachy.6.439.4.R","root.Brachy",0.019072672372774,0.00346397632322476,0.144704159768868,0.00496944321110812,0.0175770882943263,0.00028828681610816,0.0244845514238122,0.195123882122657,0.590315939667122
"30","root.EON.Medicago.1.442.4c.R","root.Medicago",0.00342552940889192,0.0019184288597029,0.195660825183601,0.00148789424598419,0.0148013203382017,3.12032467470951e-05,0.0126464708635325,0.159334879307664,0.610693448545675
"31","root.EON.Medicago.2.444.4b.R","root.Medicago",0.0137357881866621,0.00296760189513312,0.045511649527257,0.00387180221619616,0.0254761306042739,3.28515395956096e-05,0.00831522625033043,0.277763229758582,0.62232572002197
"32","root.EON.Medicago.3.444.4c.R","root.Medicago",0.00296166640953867,0.00115281859286672,0.141376212692259,0.00146142775377032,0.0131392965776285,1.94520189928529e-05,0.0103812879711059,0.137871089975952,0.691636748007886
"33","root.EON.Medicago.4.449.4c.R","root.Medicago",0.00618279937677837,0.00347156373141548,0.0434846980929257,0.00307750715657553,0.023697797243734,1.86530572966837e-05,0.0058196758567563,0.24033644508982,0.673910860394698
"34","shoot.EOD.Arabidopsis.1.451.3.S","shoot.Arabidopsis",0.00262791028870692,0.00110179862250488,0.0276935158730761,0.000263160554167154,0.00264397805825173,0.000130587081626735,0.0711426413811899,0.0518638618081611,0.842532546332315
"35","shoot.EOD.Arabidopsis.2.452.3.S","shoot.Arabidopsis",0.00316964271966429,0.00655733032982083,0.0103259620862842,0.00052250883823314,0.00341662698847081,0.000119009735877107,0.0407701289320597,0.109862696872815,0.825256093496775
"36","shoot.EOD.Arabidopsis.3.453.3.S","shoot.Arabidopsis",0.0052049198259196,0.00258640315379913,0.0170380656758594,0.000274685633851867,0.00700476002730821,0.000132278962665598,0.0556355238572686,0.105543001721295,0.806580361142032
