"","Medicago-1d.1","Medicago-1d.2","Medicago-1d.3","Medicago-1d.4","Medicago-00h.1","Medicago-00h.2","Medicago-00h.3","Medicago-00h.4","Medicago-02h.1","Medicago-02h.2","Medicago-02h.3","Medicago-02h.4","Medicago-04h.1","Medicago-04h.2","Medicago-04h.3","Medicago-04h.4","Medicago-4d.1","Medicago-4d.2","Medicago-4d.3","Medicago-4d.4","Medicago-p5h.1","Medicago-p5h.2","Medicago-p5h.3","Medicago-p5h.4","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","id","PCone"
"acetylcholine",6.66765095344845e-05,0.000170507839235705,0,0,0,0,0,0,0.00307522241167336,0.00409768591677051,0,0,0.000818155556760595,0.00434026034703551,0,0,5.74003976568325e-05,0,0,0,0,0,0,0,-0.00191469809062552,-0.00178827554226897,0.0053842927147449,-0.00308864262845215,-0.00213913900638618,-0.000586711235379895,0.00546024704757363,0.00648538611467271,0.0216645873910633,0.00254966571801844,-0.0108914005786333,-0.00730790940727203,0.0173227125166606,0.0467143671668817,0.0594083616041526,-0.0475074399044769,0.00978634408395389,-0.0867292389868673,-0.00744210135350516,-0.0840849309873185,0.155750499604089,-0.0378524472972425,0.0528452791127347,-0.0253262502649638,"acetylcholine",3.66606877824501e-06
"adenine",0.0847540516906262,0.0802556463213787,0.121503853294908,0.185669210486172,0.0859400423117375,0.0566172338979058,0.0957070652127655,0.190234663095443,0.0515249877001506,0.157068132431296,0.121853705311613,0.198835592689402,0.0950219783011869,0.159720197491362,0.353709305494464,0.292216968280679,0.0254062195741944,0.0427026132490484,0.0102280830001162,0.00649875899925341,0.208384996542122,0.159303135576568,0.314820193214446,0.143010999377841,0.220324361458154,-0.655369434302678,-0.24262232530278,-0.0250342344182149,0.116459613129643,-0.571159584061326,-0.141486683358377,0.120990716400787,0.0924146856841282,-0.0894156414629069,0.082509489571738,0.0698008646165899,-0.0261666648583991,-0.00209782972455122,-0.0697119987569061,-0.0291987538397174,-0.00174875809931854,0.00202524863398533,0.123373828244608,0.0199098216226041,-0.007180290585266,-0.00181679833849491,-0.0195135455329066,-0.111703509894909,"adenine",0.0485428242519433
"adenosine",0.0238569021198165,0.110772463587031,0.0978135437788143,0.0809549717670037,0.055555801321545,0.235265782277139,0,0.0797740341156237,0.0337216782322605,0.157921152550098,0.070573868196314,0.0820917637621871,0.0340799678460001,0.161978102760497,0.18609645383643,0.181294268830562,0,0.0342216092956315,0.00546568470701177,0.00812406228711665,0.0735542671052449,0.164664066756528,0.224864282913761,0.213480759976082,0.143416566381834,-0.504336395023562,0.29454876162172,0.154909841715138,-0.111711084007431,0.544078665033471,-0.337591392991953,-0.0673544260242118,-0.112858016304377,0.0251065548226679,-0.188644916243648,-0.149602430134128,-0.137377815716956,0.130808100497472,-0.00973819390244514,0.0637531312425362,-0.0369410576085824,0.0320175276112443,0.039169630525202,0.0222082910376915,0.110859961485565,-0.0736734898921602,0.00634234376290205,-0.108988530791969,"adenosine",0.0205683115127549
"alpha-hydroxyisobutyric acid",2.08085236459369e-07,2.28150497424091e-06,0,0,2.24810497596995e-05,1.9981497339672e-06,0,0,0,0,0,0,1.38929090592305e-07,1.0423326318447e-06,0,3.00556370917007e-06,2.51968062845496e-06,1.5652875953266e-06,0,1.53261421940321e-06,9.36856761883924e-06,9.13324875511079e-07,0,0,-5.74336581374229e-06,8.00389843689866e-07,-9.61516501357136e-07,-4.27506487158932e-06,3.84172217913534e-05,2.14823940681671e-05,1.09562671877812e-05,-1.83582551832825e-05,1.62200754521132e-06,-4.34353561320243e-05,6.37318933993128e-06,-6.75601188197307e-06,-1.57418230008941e-05,0.000139675595949908,-0.000265561715258159,0.000214430314228692,-8.68123753432361e-05,-3.94555010395075e-05,0.000392661139412646,-0.000120485902966642,-7.04795219139771e-05,-0.000157481945100286,0.000803713762716348,-0.0355326578035572,"alpha-hydroxyisobutyric acid",3.29862508704637e-11
"an hydroxycinnamic acid",0.000289652796405547,8.77652122205637e-05,0.00119602407588682,0.00766087823592072,0.000191636489755763,8.38802171724259e-06,6.24800494852067e-05,0.000115691042039306,0,0,0,0,0.000115802691589684,4.46797387334207e-05,0.000449850348809534,0.000954544388024563,0.00103753303450638,0.00228914620737374,8.33827864840219e-05,0.000287210018990068,6.56634693329158e-05,4.24124576808064e-06,0.000128708226655403,0.000168564828831863,0.0015726954936158,0.00073622626445257,-0.00147687404118302,-0.000224353547808705,-0.00249310113019807,-0.00893324515715594,0.00484998959068578,-0.0237096550004414,0.00528741805228894,-0.00501714557967742,-0.0032333236199628,0.0722925188623589,0.0346529888889837,0.0622949296880929,-0.0220474570090248,0.0114189617928168,0.00338467738818773,0.10882174785432,-0.0920402312326494,-0.0165888203661177,-0.0555568069668421,0.163297950078482,0.0311579208243763,-0.0394240937788929,"an hydroxycinnamic acid",2.47337111563944e-06
"azelaic acid and unresolvable, unidentified isomers",0.000103712187302403,0.00010548987457628,5.12938847437297e-05,0.000146862775290794,0.000313901514419801,0.000105624828249955,0,0,4.52132154087463e-05,4.50284157732975e-05,0.000176629240231168,0.00037709143634375,9.6205015028387e-06,3.88005650098489e-05,0,0.000241438325147122,4.96259838196166e-05,2.30341075024598e-05,5.00185795455009e-05,0.000166160047265133,0,4.83385105753357e-05,0,0,-7.47324485737138e-05,3.57456484513124e-05,-3.4619313578509e-05,0.000513951469192928,0.000618732230010171,-0.000423562774711822,0.000218214722840558,-0.0014234148950485,-0.000956852860506913,-0.000210696001204263,-0.00137833579782167,-0.000628666129285055,0.000403462575019348,0.00275925879891566,0.00123239884486413,0.000154949343156143,0.00345195082320871,0.00426117804236486,0.00843676947620063,-0.00580114770105404,-0.00340778803420279,-0.00867385967498209,-0.00462868552328536,-0.0343134839577011,"azelaic acid and unresolvable, unidentified isomers",5.58493886982277e-09
"betaine",0.133887395274579,0.241459959295384,0,0,0,0.0850016129762939,0,0,0.206289338866915,0.167829389637775,0,0,0,0.135506761240784,0,0,0.270003640133147,0.153523650477933,0.00906948718710239,0.122543351741919,0,0.0951596729297938,0,0,-0.376777387867436,0.108576837608066,0.55967186549358,-0.166134821052305,-0.400424892539936,-0.414025119981488,-0.219499394336952,0.162458136707547,-0.0213206569374996,0.0561851647670264,-0.0839581737900356,0.0488111812122755,-0.0953110897978151,0.0529177021902457,-0.0584329258513918,-0.0138813429952328,-0.0510255318130681,-0.0354952207673373,0.119710511360028,0.0852291086433432,0.0645399450581974,-0.0387310678748393,-0.0362789821873672,-0.0974995763505328,"betaine",0.141961200008208
"bis(3-aminopropyl)amine",0,0,0,0,0.000299163970746509,0.00792841863378183,0.000249793607658652,0.0482142165861,0,0,0,0.0530479103013515,0,0,0,0.0581248019184334,0.004010906363391,0.00199234074092085,0,0,0.0125976379307126,0,0,0,0.00040781574758735,-0.0520649158302379,-0.0565493688884296,0.049699910741276,0.0443856690175838,-0.0986667804690783,0.237112410149136,-0.0360121480057243,-0.390879261741583,0.237150362902713,-0.352472402016779,-0.18705246814648,0.0323000276785475,-0.143349034097667,0.457102525427706,0.166910252630733,-0.0434096980461001,-0.144293712476603,0.167356639291577,0.287860256121288,-0.106938467770459,0.152862739359889,-0.0960843115522452,-0.118225324628924,"bis(3-aminopropyl)amine",1.66313683980229e-07
"caffeic acid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.34622830579931e-05,0,0,0,-3.17869151062402e-06,-1.27066803638612e-05,-1.52635697580369e-05,-2.60517914885137e-05,5.3730114584713e-05,-5.09101610950232e-06,3.66485584239334e-05,-1.94874769858068e-06,0.000105042208208464,0.000261255555614889,0.000237682297825971,-0.00017827165260041,0.000321758504717419,-0.000186619677823614,-0.000361656789814297,0.000231310055272207,-0.000513110191890381,-0.000123334168745777,-4.94638442913854e-05,0.000586551830634788,-0.000342805106092686,0.000910736962424637,0.00106098023880261,0.021647456900113,"caffeic acid",1.01040797197132e-11
"carnitine",0.00357990743274331,0.00318243813446605,0,0,0.000179755822189309,4.26946359959641e-05,0,1.50648596825819e-05,0.00724701866913211,0.000184747579050632,0.000265806918595898,0.000310967333630782,0.000283312425796683,8.41740211068376e-05,0,0,0.000427697783237312,0.00436375684903561,0.00947552709640434,0.000191282746949605,0.000291938289900733,0.000111197294993824,0.000178341476978795,0,-0.00581741921012022,0.00778615979277664,-0.00540002792638549,-0.00259229549054284,-0.00963941126289389,0.00671823791824027,-0.00598505681630541,-8.35763991108239e-05,0.0185364095508176,0.0330007166031082,-0.0104835857900383,0.00498620642170927,0.00676915792912971,-0.0523237860540711,0.0187445340060675,0.170012718394008,0.0941454711377637,-0.0853968805075746,-0.081789761383566,-0.298446049918322,0.0265319443458374,-0.155959970540109,-0.264966740662101,-0.0750504986243963,"carnitine",3.38423662662758e-05
