,logFC,level,p,Genus,ord
R09325,1.92170304407215,enriched,7.3088609292075e-07,R09325,3.69294258959616
R09326,1.92170304407215,enriched,7.3088609292075e-07,R09326,3.69294258959616
R09350,1.92170304407215,enriched,7.3088609292075e-07,R09350,3.69294258959616
R03161,-1.90925488527371,depleted,0.00834072674436744,R03161,3.64525421694152
R11121,1.90500671615564,enriched,4.54264187829512e-05,R11121,3.62905058859809
R09732,1.86247655845588,enriched,8.19372930837014e-08,R09732,3.46881893079765
R01544,1.8595494981928,enriched,0.00258916270170933,R01544,3.45792433622911
R12586,1.85422920695289,enriched,0.000413420118516992,R12586,3.43816595191715
R01926,1.8378710921928,enriched,0.0112832803115647,R01926,3.37777015151797
R02976,1.8378710921928,enriched,0.0112832803115647,R02976,3.37777015151797
R10832,1.83428325274435,enriched,1.63543331742098e-07,R10832,3.36459505129838
R05434,-1.82194390382726,depleted,0.013553012924652,R05434,3.31947958869332
R05439,-1.82194390382726,depleted,0.013553012924652,R05439,3.31947958869332
R07799,-1.82194390382726,depleted,0.013553012924652,R07799,3.31947958869332
R12598,1.81872319872973,enriched,1.10014412043356e-09,R12598,3.3077540735977
R12599,1.81872319872973,enriched,1.10014412043356e-09,R12599,3.3077540735977
R05190,1.80689478411737,enriched,3.09271407762751e-05,R05190,3.26486876087057
R00866,-1.75453112739354,depleted,0.00452004090172547,R00866,3.07837947699284
R03819,-1.75453112739354,depleted,0.00452004090172547,R03819,3.07837947699284
R12576,1.74124089894577,enriched,3.17033015818615e-06,R12576,3.03191986816148
R12577,1.74124089894577,enriched,3.17033015818615e-06,R12577,3.03191986816148
R12821,-1.72081634647374,depleted,9.18423483356855e-07,R12821,2.96120889829123
R11430,1.71695104013718,enriched,2.63016740144095e-10,R11430,2.94792087422815
R05639,-1.68489719259995,depleted,0.00143289811155033,R05639,2.8388785496312
R04102,1.67207251529783,enriched,0.00952920866423208,R04102,2.79582649641442
R05440,1.65549463851244,enriched,3.2532768077965e-06,R05440,2.74066249814344
R08220,1.59218885974606,enriched,0.0127751535780134,R08220,2.53506536509947
R08255,1.59218885974606,enriched,0.0127751535780134,R08255,2.53506536509947
R08258,1.59218885974606,enriched,0.0127751535780134,R08258,2.53506536509947
