,logFC,level,p,Genus,ord
g__unclassified_f__Methyloligellaceae,-0.664761535447989,depleted,6.40770571999485e-06,g__unclassified_f__Methyloligellaceae,0.441907899011169
g__Microvirga,-0.661112596983095,depleted,8.28730656338648e-07,g__Microvirga,0.437069865889733
g__Iamia,0.661055865951985,enriched,0.000177986584790101,g__Iamia,0.436994857909529
g__unclassified_f__67-14,-0.659242318340246,depleted,1.41455077865584e-05,g__unclassified_f__67-14,0.434600434290622
g__unclassified_f__Beijerinckiaceae,-0.651734314089392,depleted,1.01769952140872e-05,g__unclassified_f__Beijerinckiaceae,0.424757616161571
g__Dongia,0.625260010416167,enriched,1.13253522672399e-05,g__Dongia,0.390950080625625
g__unclassified_o__Frankiales,-0.621042110686525,depleted,0.0041267435971556,g__unclassified_o__Frankiales,0.385693303245974
g__Microlunatus,-0.616331361812365,depleted,0.0129933125827139,g__Microlunatus,0.379864347553485
g__unclassified_f__Ilumatobacteraceae,0.601013850765903,enriched,0.000687776665566777,g__unclassified_f__Ilumatobacteraceae,0.36121764881246
g__Candidatus_Alysiosphaera,-0.600781691299073,depleted,0.000435115699758826,g__Candidatus_Alysiosphaera,0.360938640600175
g__Bauldia,0.595512130110545,enriched,0.00850336408039197,g__Bauldia,0.354634697108799
g__Mycobacterium,-0.587639535151755,depleted,6.36028818932216e-06,g__Mycobacterium,0.34532022327337
g__Pseudolabrys,-0.586891859145915,depleted,0.000356911062872437,g__Pseudolabrys,0.344442054331748
g__Bradyrhizobium,-0.584003260795683,depleted,6.21372308116463e-08,g__Bradyrhizobium,0.341059808619991
g__unclassified_o__Bacillales,-0.58027020177635,depleted,0.000298734961744729,g__unclassified_o__Bacillales,0.336713507069565
g__Nocardioides,-0.57529279671462,depleted,0.000724754330993859,g__Nocardioides,0.330961801951729
g__OM27_clade,0.574272135412767,enriched,0.0103749275681944,g__OM27_clade,0.329788485511539
g__Lysinibacillus,-0.5706390560828,depleted,0.00103823418080414,g__Lysinibacillus,0.325628932327069
g__Paenibacillus,-0.568343318434836,depleted,0.000575588262651536,g__Paenibacillus,0.323014127609522
g__Massilia,-0.562056312715968,depleted,0.0103394374240532,g__Massilia,0.31590729866387
g__Agromyces,0.544702270487842,enriched,0.000833866516415093,g__Agromyces,0.29670056347461
g__unclassified_f__Micromonosporaceae,-0.540663649001444,depleted,0.000970702802719269,g__unclassified_f__Micromonosporaceae,0.292317181351557
g__Ellin6067,-0.502208348598217,depleted,0.00033662787715199,g__Ellin6067,0.252213225401748
g__unclassified_f__Devosiaceae,0.498704584313213,enriched,0.00818749130713983,g__unclassified_f__Devosiaceae,0.248706262415014
g__unclassified_f__Comamonadaceae,-0.489534441620958,depleted,0.000447311906165369,g__unclassified_f__Comamonadaceae,0.239643969533143
g__unclassified_f__Xanthobacteraceae,-0.48694379053397,depleted,4.95663915343403e-05,g__unclassified_f__Xanthobacteraceae,0.237114255139591
g__Bryobacter,-0.474954944822493,depleted,8.89558925598987e-05,g__Bryobacter,0.225582199611337
g__Rhodoplanes,-0.470476749718198,depleted,0.000831539541519177,g__Rhodoplanes,0.2213483720254
g__Ferruginibacter,-0.469142351639192,depleted,0.0071910855027655,g__Ferruginibacter,0.220094546101551
g__Haliangium,0.441470938587199,enriched,0.0117603086929171,g__Haliangium,0.194896589617062
g__unclassified_c__Thermoleophilia,-0.427007902941833,depleted,0.0118382656061255,g__unclassified_c__Thermoleophilia,0.182335749174782
g__unclassified_c__Acidimicrobiia,0.415835141366014,enriched,0.00703678270115612,g__unclassified_c__Acidimicrobiia,0.172918864794893
g__unclassified_o__Gaiellales,-0.345848619357715,depleted,0.0141731757762818,g__unclassified_o__Gaiellales,0.119611267511638
g__Gaiella,-0.335981827840504,depleted,0.0129283002355522,g__Gaiella,0.112883788639046
