"","L1S140","L1S208","L1S8","L1S281","L3S242","L2S309","L2S357","L4S112","L2S155","L2S382","L4S63","L2S222","L3S341","L3S360","L2S204","L4S137","L3S294","L2S175","L5S203","L6S93","L6S20","L6S68","L1S257","L3S378","L1S105","L5S174","L5S155","L5S222","L5S104","L1S57","L1S76","L5S240","L3S313","L2S240"
"363400",27,3,7,4,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,4,28,0,0,0,1,39,42,0,1,0
"503394",0,0,0,0,0,2,4,12,10,4,26,0,1,0,3,4,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"351231",0,11,16,33,9,5,0,0,0,0,0,19,0,0,1,0,1,1,0,0,0,0,15,0,249,0,0,1,2,133,204,0,0,0
"New_CleanUp_ReferenceOTU231",0,0,0,0,1,14,6,11,86,1,208,29,4,6,37,2,4,22,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0
"New_CleanUp_ReferenceOTU667",47,60,19,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,6,68,0,0,0,0,29,22,0,0,0
"New_CleanUp_ReferenceOTU793",10,13,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,27,0,0,0,0,9,3,0,0,0
"New_CleanUp_ReferenceOTU827",16,61,7,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,9,15,0,0,0,0,7,4,0,0,0
"New_CleanUp_ReferenceOTU2291",8,9,18,5,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,2,18,0,1,0,0,6,16,0,0,0
"New_CleanUp_ReferenceOTU2606",0,0,0,0,0,0,0,1,0,2,0,1,1,0,1,3,0,3,8,10,33,15,0,0,0,12,6,6,4,0,0,4,0,31
"New_CleanUp_ReferenceOTU2800",4,13,33,12,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,39,0,0,0,0,34,45,0,0,0
