"","Brachy-1d.1","Brachy-1d.2","Brachy-1d.3","Brachy-1d.4","Brachy-00h.1","Brachy-00h.2","Brachy-00h.3","Brachy-00h.4","Brachy-02h.1","Brachy-02h.2","Brachy-02h.3","Brachy-02h.4","Brachy-04h.1","Brachy-04h.2","Brachy-04h.3","Brachy-04h.4","Brachy-4d.1","Brachy-4d.2","Brachy-4d.3","Brachy-4d.4","Brachy-p5h.1","Brachy-p5h.2","Brachy-p5h.3","Brachy-p5h.4"
"N-acetyl-phenylalanine",25322.5406966667,14890.0738966667,13311.3492866667,13159.4567066667,35004.16602,22720.4082,7409.01953,8273.79297,1770.07747666667,0,0,2872.28841666667,6875.31021666667,2579.20279666667,0,0,19008.7138577778,0,0,6466.26072777778,7880.80891766667,6231.32649766667,6562.61165766667,3221.61067766667
"nicotinamide",1038681.93226667,979313.432266667,460226.494766667,1118629.80726667,1885487.10933333,768810.359333333,10430409.8593333,559582.109333333,0,94400.1354666667,124627.604166667,64236.2604666667,441092.677066667,375178.489566667,541987.552066667,654979.739566667,703462.387133333,15767962.6371333,173382.762133333,998282.887133333,321605.3437,282010.9687,489784.1562,248666.5937
"pantothenic acid",6411322.63117667,6285783.63117667,0,47124687.1311767,106718102.42447,70952372.42447,658472.36197,16849332.42447,635814.573543333,904381.386043333,479355.761043333,31524.6516433334,0,22145557.7324133,2085569.98241333,2601476.48241333,133984054.829647,179044444.829647,0,176671224.829647,0,1830741.01219467,461088.324694667,342401.887194667
"phenylalanine",859928.71354,1090890.71354,272168.11984,1603180.46354,778659.711916667,474685.618216667,22107.4853566667,125768.477516667,0,0,0,0,86727.0456233333,322073.951823333,1385482.82682333,758847.389323333,0,632477.020387778,193314.645387778,65175025.7703878,183995.535156667,476359.410156667,123335.472656667,1106123.03515667
"pipecolic acid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1096.27750583333,0,0,0
"proline and unresolvable, unidentified isomers",10985.2746548333,108795.044164833,76132.8488648333,339085.653564833,0,0,0,0,0,0,0,0,0,6990.96736483333,106990.838484833,24889.0923648333,0,231233.912732722,86930.9283327222,336175.194032722,0,8669.94262483333,0,0
"pyridoxine",4625230.08333333,153212506.583333,94863676.5833333,93058926.5833333,79751273.3541667,121985043.354167,0,989612.854166667,0,0,0,20048998.3958333,8023756.85416666,0,54803586.8541667,0,249295447.291667,623307627.291667,263645127.291667,315253667.291667,0,64195656.1562333,0,25922916.1562333
"sarcosine",23645.3336626667,28018.2594426667,0,205473.282852667,0,12175.3119945,49.9438274999998,1534.1445105,0,0,0,0,0,7231.242835,29677.955725,7703.385415,6915.93455916667,0,0,0,0,0,0,0
"threonine",148842.279973333,434279.701873333,146527.311173333,656335.545573333,55619.4759133333,116236.671223333,9601.90560333333,35752.5384133333,0,0,0,0,35791.2786566667,75381.7161566666,644836.606756667,136192.950556667,153061.023652222,4760363.33615222,207175.492452222,444833.429952222,14589.03776,59227.06121,57231.14714,6225.44792
"thymidine",300962.923228167,446077.235728167,913980.391928167,546625.266928167,146948.0761725,69249.1308625,33136.6347625,34213.1972625,0,0,0,246502.290415,0,123088.3574725,214530.1699725,356237.1699725,249276.207676944,812871.207676944,773886.145176944,661251.957676944,63771.3418025,55015.6035125,26023.0996125,32598.7168025
"trigonelline and unresolvable, unidentified isomers",182195.55442475,165914.41382475,15644.35911475,90629.71072475,2023792.24349667,1826453.24349667,0,1591710.24349667,184002.042728083,54894.1677080833,23.3825480833329,75045.0114580833,0,299376.58733475,321806.36853475,389647.74353475,0,0,0,0,28940.47501475,835193.86563475,0,221309.27193475
"tyrosine",228424.30664,468053.65044,194581.52544,711377.86914,85335.9450093333,65700.6324893333,12580.5348293333,16312.8043593333,0,0,288097.10091,0,19594.7714866667,10295.4042966667,337704.236326667,52051.0957066667,129083.900495556,99419.6973955555,129322.619295556,294031.806795556,29626.61393,63629.46159,24749.50456,8512.49284
"unidentified isomer of 3-hydroxyanthranilic acid",594336.717446667,700180.592446667,19363383.5299467,1435707.40494667,3867725.12239667,2111147.12239667,2424748.12239667,2001076.49739667,306711.240926667,544241.397126667,1078806.45962667,2257570.08462667,7463.53776,78218.04555,220396.71745,342670.34245,2453544.76692556,1338690.14192556,40029630.0169256,4131650.51692556,1543116.04168,1158862.66668,1363967.66668,15577123.79168
"unidentified isomer of cytidine",300960553.1875,371839873.1875,460597833.1875,395602673.1875,332358412.172018,251146692.172018,112344452.172018,129982502.172018,0,0,0,21139654.6927,5178.08336666663,6803565.61456667,153277775.114567,149081965.114567,404831119.854111,427094159.854111,1065049439.85411,600427039.854111,60203012.92578,82987912.92578,4889553.42578,4659721.42578
"unidentified isomer of nicotine",0,0,438484.593566667,0,0,0,0,0,0,0,0,0,650577981.291667,182797521.291667,158707001.291667,0,0,0,0,0,102394206.666667,0,0,0
"unidentified isomer of nicotinic acid",1004601.47982,2026566.97982,59541.67512,2329740.47982,651223.841146667,198028.341146667,0,0,1464453.32421167,109366.574211667,58009.9336116667,0,15238.8417933333,211615.970703333,328671.752003333,336910.689503333,1669718.06944889,5934701.44444889,338320.350748889,53500181.9444489,0,45820.20699,0,0
"unidentified isomer of valine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"uracil",457435.9427,648086.4427,328620.349,948102.6302,207963.628943333,63250.2539433333,7989.62889333334,16544.0820233333,0,0,0,0,540054.847636667,86319.3320366667,487208.222636667,3548719.09763667,904748.864577778,341388.364577778,508582.552077778,835426.864577778,0,63017.7519133333,30457.7519533333,4853.30273333333
"vanillic acid",351951.066453333,351681.003953333,475248.347653333,324827.972653333,617512.494463333,194201.072563333,163125.463263333,191694.119463333,0,39473.31055,43349.08399,78969.77931,51852.0599266667,0,214678.645826667,0,0,0,0,0,134207.5951,91859.2669,40691.16536,70106.5169
"xanthine",2546088.625,50458622.125,2349836.625,1654392.875,773015.593733333,72176.9687333333,0,0,0,0,0,0,0,0,0,0,44133633.2986111,913372.048611111,43697933.2986111,1162216.79861111,0,0,0,0
