function	A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A2	A3	A4	A5	A6	A7	A8	A9
RXN-12070	503.31	650.38	412.89	510.32	711.3199999999999	447.79	681.26	905.14	615.86	548.17	564.26	788.1500000000001	360.49	255.92	391.4	396.05	639.13	937.26
RXN-12071	131.1	207.0	137.9	144.7	175.3	178.1	155.1	430.6	217.9	182.3	133.8	149.6	100.8	61.0	126.9	115.5	189.5	357.6
RXN-12072	138.1	215.0	146.9	153.7	182.3	191.1	174.1	440.6	228.9	195.3	151.8	177.6	114.8	77.0	139.9	127.5	198.5	367.6
RXN-12073	722.97	728.13	957.13	765.57	1119.4	670.2	1273.93	1038.63	714.27	791.5	1539.6	1018.9	670.5699999999999	572.5	819.0699999999999	637.3	939.3	788.93
RXN-12074	9954.239999999998	8725.990000000002	9251.9	7183.31	10919.97	13322.07	9080.56	10789.41	12059.99	9920.94	9102.91	11370.01	11696.53	14107.35	10879.16	7088.77	7895.949999999999	9005.2
RXN-12078	3.9700000000000006	10.33	8.33	11.17	1.4	2.8	9.93	13.53	11.77	7.7	2.0	2.4000000000000004	30.17	3.0000000000000004	70.57	12.7	11.8	8.73
RXN-12086	8541.619999999999	7313.73	7677.99	8030.969999999999	9123.52	10154.490000000002	8237.64	8864.58	8287.66	8023.87	8341.54	8070.030000000001	9431.8	10543.259999999998	10071.740000000002	7183.28	7884.799999999999	8124.94
RXN-12088	25000.8	24776.94	26677.02	24712.43	31810.82	28071.91	28775.07	29427.62	28641.95	27052.65	36399.41	29957.8	34720.92	29148.95	27709.57	24143.06	26169.67	28435.08
RXN-12093	21412.43	19325.0	21281.73	20880.6	20670.1	24037.36	21640.45	21353.96	22405.89	21473.4	18081.78	23007.76	23404.27	27104.43	24870.44	20877.88	17552.09	18671.67
RXN-12104	22710.35	21808.32	22767.73	22048.76	22721.81	26563.04	23799.34	23128.13	24438.23	23889.45	19289.56	26578.61	24715.08	30039.590000000004	26233.74	22205.06	20473.89	21832.07
RXN-12116	2040.68	1390.33	1084.0	716.67	1462.0	1815.0	987.67	1271.67	1673.67	1317.33	1288.66	2501.6800000000003	2319.0	3159.66	1942.0	762.0	566.0	1338.34
RXN-12123	1033.36	1189.58	1266.0500000000002	1556.62	1644.39	815.76	1423.4499999999998	985.92	832.06	978.37	1950.38	748.5	907.71	830.73	1022.81	1401.98	1305.08	1290.5100000000002
RXN-12124	1259.15	1126.15	1538.55	1346.1	2248.1	1069.0	2192.3	1850.4	1377.55	2262.1	2790.95	2670.85	2036.5	1280.6	1263.85	1416.95	1527.75	1212.8
RXN-12125	1033.36	1189.58	1266.0500000000002	1556.62	1644.39	815.76	1423.4499999999998	985.92	832.06	978.37	1950.38	748.5	907.71	830.73	1022.81	1401.98	1305.08	1290.5100000000002
