"","Medicago-1d.1","Medicago-1d.2","Medicago-1d.3","Medicago-1d.4","Medicago-00h.1","Medicago-00h.2","Medicago-00h.3","Medicago-00h.4","Medicago-02h.1","Medicago-02h.2","Medicago-02h.3","Medicago-02h.4","Medicago-04h.1","Medicago-04h.2","Medicago-04h.3","Medicago-04h.4","Medicago-4d.1","Medicago-4d.2","Medicago-4d.3","Medicago-4d.4","Medicago-p5h.1","Medicago-p5h.2","Medicago-p5h.3","Medicago-p5h.4"
"adenosine",202131049.666667,3127665109.66667,206696009.666667,205710229.666667,80630516.8958333,2388510596.89583,0,81767436.8958333,358888582.166667,2915453982.16667,43728562.1666667,140366102.166667,272707670.583333,2187085050.58333,227560850.583333,282233710.583333,0,675117067.166667,27033447.1666667,49852887.1666667,259124727.541667,2686144027.54167,172684047.541667,225818667.541667
"alpha-hydroxyisobutyric acid",1763.03222666667,64418.3876966667,0,0,32627.7115866667,20286.0006566667,0,0,0,0,0,0,1111.70963666667,14073.9401066667,0,4678.97525666666,39499.9971742222,30879.6807742222,0,9404.80772422222,33004.5778066667,14898.9528066667,0,0
"an hydroxycinnamic acid",2454125.16186275,2478054.41186275,2527394.41186275,19466636.6618627,278130.25566275,85158.48996275,54611.28686275,118581.94316275,0,0,0,0,926652.34936275,603281.47436275,550082.09936275,1486007.28686275,16264978.7708588,45159818.7708588,412413.864658806,1762449.39585881,231326.19316275,69186.90406275,98841.20876275,178306.86496275
"azelaic acid and unresolvable, unidentified isomers",878716.489566667,2978510.98956667,108392.364566667,373184.927066667,455578.729133333,1072344.72913333,0,0,481189.182266667,831289.994766667,109441.963566667,644776.682266667,76983.1875,523898.8125,0,375864.25,777966.143211111,454412.268211111,247393.455711111,1019632.51821111,0,788539.989566667,0,0
"betaine",1134380298.33333,6817631978.33333,0,0,0,862969750.135417,0,0,2195468678.40104,3098374438.40104,0,0,0,1829659730,0,0,4232736046.72222,3028683886.72222,44857966.7222222,751980926.722222,0,1552327670.13542,0,0
"bis(3-aminopropyl)amine",0,0,0,0,434189.5,80492419,218334.5,49418999,0,0,0,90704938.6666667,0,0,0,90487022.1666667,62877329.8611111,39304499.8611111,0,0,44380287.1666667,0,0,0
"caffeic acid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188342.56769,0,0,0
"carnitine",30331282.8906167,89856272.8906167,0,0,260887.333336667,433452.708336667,0,15441.3021366667,77127604.30209,3410708.80209,164697.70839,531713.17709,2267064.10157,1136547.10157,0,0,6704842.28775222,86087322.7877522,46866252.7877522,1173796.66275222,1028470.98892667,1813947.36392667,136956.957726667,0
"choline o-sulfuric acid",0,0,0,0,0,43818.1458000001,39390.7708000001,0,0,11743.37043,90947.31577,142959.11267,0,0,0,0,0,0,0,0,0,334517.33334,0,82294.42714
"cytosine",45621610.9166667,143571930.916667,0,0,0,0,0,0,112833469.8125,35893149.8125,0,0,24754888.6666667,0,0,0,130690537.472222,263694967.472222,45424177.4722222,31834017.4722222,0,48682540.8541667,0,0
"deoxycarnitine",56956.9622366667,202716.876276667,26988.3216166667,0,13126.3945333333,88225.0937733333,47592.6562533333,55565.9375033333,0,0,0,0,102575.611953333,93552.6276533333,29788.6510433333,16635.1276033333,359023.933426667,547177.777126667,215848.808426667,216332.292726667,19840.8053393333,102264.902979333,70296.4342393333,32228.3795593333
"deoxycytidine",69869642.3710867,674906592.371087,2105063.62108667,1588260.99608667,148465.32515425,581815.04385425,52088.95791425,303460.73135425,35606889.3209028,418519449.320903,72987.1647028333,922152.195902833,128276755.066035,261152295.066035,1662123.94103475,1521795.31603475,150084914.198224,166054124.198224,1608228.32322381,42010834.1982238,732872.79385425,4229031.66885425,4171614.16885425,272853.95015425
"dethiobiotin",1169212.56510333,45432223.0651033,190471.190103333,6283093.06510333,143474.477906667,286587.134106667,429659.634106667,508483.134106667,211141.830776667,2097.2369766667,0,47581.2057766667,10724817.9062167,2546502.40621667,86770.1250166667,261443.500016667,45367120.5883244,385452720.588324,0,48939110.5883244,80116.0026333333,222620.158833333,419290.033833333,204472.221333333
"dihexose(s)",40763542.6979,133585722.6979,703814.1979,111281122.6979,714521.9375,320634996.3125,0,221253.25,87540941.1666333,127289981.166633,636531.916633333,7057901.66663333,2013148.375,147782846.625,2380973.375,33646696.625,69335937.0798556,0,0,0,0,172956855.5677,0,0
"ferulic acid",2623806.74121,15682059.99121,2768148.24121,2830906.74121,11639.7329146667,69714.8188446667,38712.9399446667,40482.2563446667,40582.5989164167,54403.6146164167,0,91121.6614164167,100113.145885333,186767.973985333,238441.552085333,1576689.17708533,355374.442864389,1296648.56786439,52678.1772443889,779158.255364389,81370.04368875,91946.86400875,9871.61595875,118368.51247875
"glucuronolactone",0,104786.003923333,35750.9726233333,0,20236.5786840833,41724.6529040833,0,47237.4536840833,65777.7648874167,457708.061757417,0,26688.7258174167,156837.776412417,340411.854612417,54890.1436224167,1390.46394241667,0,0,6821.10093302777,0,18340.0028321667,540077.680562167,106851.946162167,43317.7430621667
"glutamine",20164872.2525867,159557162.252587,51868.6275866667,356686.752586667,4045769.32680333,281416821.076803,42819.2487033333,217121.295603333,175533978.843733,478050698.843733,0,0,85330969.0182133,240481699.018213,1154447.39321333,643358.143213333,1490770.10329556,26856768.4782956,542633.915795556,45704408.4782956,94189755.7296533,99845015.7296533,7471435.72965333,283185.292153333
"glyceraldehyde or lactic acid",0,289113.739566667,0,0,0,0,0,0,0,20127346.6666667,0,0,0,8598007.34356667,0,0,0,0,0,0,0,0,0,0
"guanine",1196908287.16667,2676896607.16667,716106367.166667,960204927.166667,231551059.833333,850561979.833333,463669499.833333,252739099.833333,1077026433.91667,2795908273.91667,285241993.916667,207299753.916667,1126767700,1782389620,170089600,188568780,1035213877.44444,1433363237.44444,999578197.444444,864054917.444444,499847766.666667,2699540486.66667,182472106.666667,650052486.666667
"histamine and unresolvable, unidentified isomers",411139.362711,2702560.112711,194490.456511,199797.456511,90856.4044596667,973047.185709667,752354.373209667,191771.420109667,669959.284026333,1149410.03402633,108778.455926333,191218.205926333,421832.991587667,1690224.02278767,163088.100887667,533750.710287667,0,0,0,0,426294.618541,1651703.712241,269401.399741,358840.118541
"histidinol and unresolvable, unidentified isomers",156482.343806667,328662.922006667,26139.3008666667,17557.2559366667,20216.0199393333,20237.4222793333,12252.4408393333,22122.8031393333,264700.78773,31820.14315,0,15113.52596,131824.941537667,110446.980537667,21432.9688276667,41880.3985176667,335065.494303778,1842528.27550378,0,0,75171.00203475,45414.69734475,56490.77547475,22699.16023475
"homovanillic acid",433933.216846667,543723.060546667,141252.716846667,314491.810546667,59875.059733,110290.512883,85921.262863,66239.020673,123551.002742,77171.729332,24666.135582,66719.776202,93673.0929363333,172993.639836333,31629.1163763333,109321.264836333,893005.860378667,1489342.86037867,528406.672878667,748920.297878667,86244.0266113333,151070.089161333,25839.8723113333,90826.6359913333
"hypoxanthine",180890798.166667,73699538.1666667,0,0,88650187.1666667,1938894.66666667,15177837.1666667,21619587.1666667,441350387.708333,112309447.708333,0,0,656561536.25,0,0,0,0,0,0,0,153133141.583333,85908391.5833333,0,0
"inosine",0,157037.3646,0,0,51329.10805,557407.84245,0,6097.42839,245631.380216667,147534.474016667,0,30016.4271166666,0,8769.81513333332,0,0,0,225855.811673333,0,0,114345.057286667,416846.994786667,0,460928.869786667
"isoleucine",34321314.2604067,136909734.260407,0,0,469772.990893333,3158058.80339333,74805.9752933333,3556056.05339333,4824689.22133667,134957262.721337,0,0,5811641.57549,72046709.07549,141201.13799,224153.16929,33611226.1336678,1557366.63366778,0,0,1795263.14061667,3750537.26561667,247999.734416667,104651.328116667
"leucine/norleucine",5716011.43226667,104515195.932267,314485.682266667,22596.6978666667,954449.816413333,31246106.6914133,86345.0820133333,3384396.69141333,0,0,0,0,73215535.8437,38975015.8437,13578.25,361803.7187,66890471.3350667,3055944.58506667,0,36057.0225666666,3682287.7604,4129335.0104,3486852.5104,160733.4792
"malonic acid",45399.12675325,204438.31422325,0,0,16204.90758975,185748.77865975,0,8685.21032975,207110.727896667,58055.8840966667,0,1971.64190666666,0,0,0,0,250809.388738806,365123.482438806,0,18249.1777488056,417753.121539917,31871.7973199167,0,0
"N-acetyl-hexosamine",118869401.8958,251763111.8958,67890481.8958,3444313.3958,3919117.53253667,76243470.0325367,1538740.90753667,1770598.90753667,6315717.16666667,86297678.6666667,1889880.79166667,33703038.6666667,72292959.5468333,161845769.546833,1077430.67183333,3084619.79683333,109086877.28125,203364367.28125,82762927.28125,158333677.28125,5137141.73567667,99917066.2356767,927323.173176667,1765877.48567667
"N-acetyl-phenylalanine",26117864.9000667,828744.775066667,17569.3336566667,51162.8531966667,258178.65044,36473.39648,18937.37305,24266.5918,31472935.5032567,64686.4720066667,31094.0032566667,77196.2298166667,1059227.40201667,461946.527016667,29040.2848266667,11128.3473266667,3500241.59666778,63201394.0966678,26897084.0966678,1016935.47166778,441964.601887667,130449.976887667,17149.7874376667,20183.6819676667
"nicotinamide",416980.119766667,23167887.1822667,830291.557266667,930860.307266667,238033.359333333,2922168.60933333,69539.7656333333,0,24640.2604666667,450140.479166667,159829.104166667,0,106560.145866667,632135.614566667,371331.489566667,6881615.80206667,137883.762133333,1619456.88713333,11812342.6371333,24024012.6371333,217591.0937,3487335.9062,0,45680.4375
"pantothenic acid",174293527.131177,7581925.63117667,5905812.63117667,6299013.63117667,1603616.92447,372688682.42447,1678480.92447,30562.57287,6094335.76104333,73922175.2610433,42723745.2610433,7230110.76104333,39484967.7324133,52783477.7324133,564148.357413333,5446803.23241333,267414884.829647,566890564.829647,168704564.829647,212490284.829647,118692253.762195,510567283.762195,0,1776802.88719467
"phenylalanine",220158295.33854,100137105.33854,116576.40104,75112.66664,49268912.4619167,35263342.4619167,72268.8760166666,140020.696316667,549572788.5,141528718.5,0,74460298.5,178453938.451823,176659298.451823,62331.3112233333,420818.201823333,273806645.770388,7060350.27038778,4814045.77038778,0,284580613.035157,64363013.0351567,90322.2695566666,214560.785156667
"pipecolic acid",795148.953939167,46961356.0789392,22658.1258191667,12127.9344091667,4681586.97778375,136371026.977784,13416.27466375,70892.50903375,1290123.85278375,2123131.22778375,34197.18872375,328884.63408375,421289.50908375,765613.35278375,29986.05981375,130551.88408375,499567.448513611,528299.698513611,8941.51101361111,0,957287.646645833,234303687.834146,89240.4435458333,34972.3068058333
"proline and unresolvable, unidentified isomers",15287587.8410648,926857537.841065,7412.65747483333,0,27109036.2251748,895842176.225175,0,0,40832496.4934082,666760446.493408,0,465796.368408167,776071.479084833,127289667.354085,17860.2017448333,99373.5649848333,294410.756532722,238197.412732722,0,0,4373696.71606483,726117871.216065,0,13264.8215348333
"pyridoxine",600228056.583333,1110890656.58333,290027856.583333,188913356.583333,820499.854166667,0,53434513.3541667,170437773.354167,1075893088.39583,237438928.395833,0,55594238.3958333,784545336.854167,737970536.854167,216204496.854167,69918706.8541667,1797373067.29167,2758432267.29167,1481748907.29167,1289604987.29167,131764556.156233,0,108595526.156233,0
"sarcosine",100245.603152667,2369402.01725267,0,5005.67448266667,33205.4272245,443616.1577445,0,0,0,42526.2833955,0,0,0,17786.291665,0,8787.932295,0,12311.1513591667,0,2001.55174916667,114045.938783167,356633.845083167,0,3659.95636316667
"threonine",163675.639373333,4036670.17057333,10046.3932333333,0,126549.546223333,1502386.67122333,0,34694.6556033333,0,14287648.6705733,0,0,250522.138056667,1486894.23175667,20110.7317566667,85849.7317566666,63564.5783522222,115012.211152222,0,53994.2267522222,395247.06901,1223357.81901,52552.15495,19706.55339
"thymidine",923497.079428167,54869639.7669282,368649.048228167,3940619.76692817,38400.1269525,127573.3105725,12777.9043025,48975.2714825,108722.477915,4142842.071615,84611.540415,32143.415415,1588967.2636725,24935509.5136725,559265.4511725,315813.7636725,860260.770176944,1720339.77017694,145425.707676944,520430.957676944,164080.8574725,613031.7636725,62605.1074225,53303.8027325
"trigonelline and unresolvable, unidentified isomers",596995457.491925,2463081977.49192,302892157.491925,282709197.491925,233336981.743497,2600369981.7435,237364821.743497,44532031.7434967,921420361.558328,1313534441.55833,139120211.558328,479643001.558328,708366906.306035,1090260826.30603,132040086.306035,190960786.306035,1400113155.95855,4473243875.95855,963909715.958548,1184789155.95855,205522891.553135,3163448451.55313,6441450.05313475,6974119.05313475
"tyrosine",1164452.86914,3482710.49414,73363.83004,42735.64258,140197.007509333,5467492.08560933,19634.4059193333,57362.5309193333,14486737.10091,286415.72591,0,0,582431.361326667,529210.673826667,10296.7011666667,101366.970726667,1511882.27549556,1352102.15049556,152658.509895556,200051.634895556,437579.05539,591611.52409,46328.33659,49107.49284
"unidentified isomer of 3-hydroxyanthranilic acid",658501.029946667,388694.498746667,5484813.52994667,253570.842446667,206847.309896667,70698.9504966667,192431.153696667,263023.059896667,7553022.83462667,133604.584626667,318409.990926667,278331.428426667,562058.96745,195598.79555,241455.37375,137494.96745,5460724.51692556,5144788.51692556,2191193.51692556,2141644.76692556,586270.97918,45148.74478,532421.16668,382525.76048
"unidentified isomer of cytidine",226893913.1875,1086508313.1875,7492727.6875,66875403.1875,66221362.172018,96471122.172018,922523.047018,1795781.047018,192084204.6927,703526104.6927,0,0,335181705.114567,662716165.114567,3801940.86456667,3215110.61456667,144515479.854111,556406599.854111,117174329.854111,229673059.854111,76679022.92578,278170992.92578,1458173.30078,1517760.80078
"unidentified isomer of nicotine",0,0,0,0,0,0,0,117825756.666667,0,322113813.333333,0,0,0,0,0,0,0,0,0,0,0,0,15455666.6666667,0
"unidentified isomer of nicotinic acid",2252179.97982,670284.72982,988300.47982,720668.60482,0,0,0,0,40776.2461116667,33116.7930116667,89069.4336116667,127523.996111667,219641.877003333,155988.611303333,22988.4902333333,265866.220703333,1212728.44444889,1621384.69444889,1839572.44444889,3057338.44444889,232619.62889,986005.87889,0,0
"unidentified isomer of valine",0,1461805.71875,0,0,0,0,0,0,0,1158882.71875,0,0,0,0,0,0,0,0,0,0,0,38231447.21875,0,0
"uracil",932295.3802,1558826.5052,165752.724,114323.224,162202.769543333,185590.878943333,20300.0585833333,57455.1054433333,0,0,0,0,411317.410136667,462049.597636667,61045.4414366667,299194.285136667,3172154.98957778,41757609.2395778,576981.864577778,1347048.36457778,195057.822313333,92897.0723133333,29964.8769533333,75898.4863133333
"vanillic acid",233403717.035153,666349657.035153,114172237.035153,150558977.035153,1126189.49446333,2874122.99446333,1285848.49446333,1452686.99446333,48595002.28711,78781472.28711,21582112.28711,37796182.28711,4712597.89582667,233517619.395827,3263523.89582667,143775619.395827,286574371.848953,1057529411.84895,241079951.848953,385049651.848953,20996986.3138,47272546.3138,840430.9388,2527017.0638
"xanthine",106472032.125,4106371.625,1295753.875,54804.625,37179964.8437333,1727348.59373333,649833.593733333,23127154.8437333,141188108.656233,0,0,0,158947787.229167,17528167.2291667,8221957.22916667,0,124866363.298611,179568803.298611,58960973.2986111,3045697.79861111,53543386.0937333,0,0,0
