"","Medicago-1d.1","Medicago-1d.2","Medicago-1d.3","Medicago-1d.4","Medicago-00h.1","Medicago-00h.2","Medicago-00h.3","Medicago-00h.4","Medicago-02h.1","Medicago-02h.2","Medicago-02h.3","Medicago-02h.4","Medicago-04h.1","Medicago-04h.2","Medicago-04h.3","Medicago-04h.4","Medicago-4d.1","Medicago-4d.2","Medicago-4d.3","Medicago-4d.4","Medicago-p5h.1","Medicago-p5h.2","Medicago-p5h.3","Medicago-p5h.4"
"4-quinolinecarboxylic acid",0.128641948156841,0.00128126533174062,0.0144534059846834,0.000581411221331373,0.127965452824387,1.26222295790335e-05,0.00986727832566051,0.000159853090706076,0.0407479958757254,1.12683408641135e-05,0.00104257871648303,0.0582507615942504,0.0952778054822827,0.000128174717041969,0.000591269286453308,0.000418190262782419,0.149395583307995,0.0294287050989906,0.0527383795225509,0.032706579716029,0.0652299674383311,8.32234200964079e-06,0.000464726587122104,0.000251572209998411
"5-methylcytosine",0.0149247092628038,0.0683081720746323,0.00167822583181939,0.00306325416434295,0.000109916228728012,9.09301411325512e-05,0.000329048031290825,0.000117961150217809,0.00447803642110661,0.0358513800908046,0.0032644479046437,0.00101359292004135,0.0126333137473985,0.0390120443479836,0.00141176813679004,0.00147735916190112,0.016522280018989,0.0169136715001728,0.00149842235796598,0.0115691680709248,0.000255679541124501,0.00801882045019522,0.000431164196290617,0.000294584237366551
"5-deoxyadenosine",0,0.00343804610203303,0,0,0,3.92798103837361e-06,0,0,9.43405948153166e-05,5.54754610052488e-05,0.00411882065665096,0.000292306440134142,0.00220266395476056,0.000511344352419895,0.00608305781495323,0.00021276188301938,0,0.000221936579825063,0,0,2.00759760596453e-05,2.30032851225982e-05,9.33310646803866e-07,0
"5-methylthioadenosine",0.00177154555951975,0.00328839061848716,0.000179095727155373,0.000191628141746332,0.0010840995487991,0.00808668099833246,0.000863159580997023,0.000390270601000342,8.41527720670428e-05,6.38574032370892e-05,0.000413428408021059,0.000315047715411277,0,0,0.000579808385423676,0.00159376415332131,0.00014495995275989,0.00823794732710193,0.000349025157816567,0.000224330127389741,0.000148354036964137,0.00429548722049296,0.0121703026140935,0.000314695038953641
"acetylcholine",6.66765095344845e-05,0.000170507839235705,0,0,0,0,0,0,0.00307522241167336,0.00409768591677051,0,0,0.000818155556760595,0.00434026034703551,0,0,5.74003976568325e-05,0,0,0,0,0,0,0
"adenine",0.0847540516906262,0.0802556463213787,0.121503853294908,0.185669210486172,0.0859400423117375,0.0566172338979058,0.0957070652127655,0.190234663095443,0.0515249877001506,0.157068132431296,0.121853705311613,0.198835592689402,0.0950219783011869,0.159720197491362,0.353709305494464,0.292216968280679,0.0254062195741944,0.0427026132490484,0.0102280830001162,0.00649875899925341,0.208384996542122,0.159303135576568,0.314820193214446,0.143010999377841
"adenosine",0.0238569021198165,0.110772463587031,0.0978135437788143,0.0809549717670037,0.055555801321545,0.235265782277139,0,0.0797740341156237,0.0337216782322605,0.157921152550098,0.070573868196314,0.0820917637621871,0.0340799678460001,0.161978102760497,0.18609645383643,0.181294268830562,0,0.0342216092956315,0.00546568470701177,0.00812406228711665,0.0735542671052449,0.164664066756528,0.224864282913761,0.213480759976082
"alpha-hydroxyisobutyric acid",2.08085236459369e-07,2.28150497424091e-06,0,0,2.24810497596995e-05,1.9981497339672e-06,0,0,0,0,0,0,1.38929090592305e-07,1.0423326318447e-06,0,3.00556370917007e-06,2.51968062845496e-06,1.5652875953266e-06,0,1.53261421940321e-06,9.36856761883924e-06,9.13324875511079e-07,0,0
"an hydroxycinnamic acid",0.000289652796405547,8.77652122205637e-05,0.00119602407588682,0.00766087823592072,0.000191636489755763,8.38802171724259e-06,6.24800494852067e-05,0.000115691042039306,0,0,0,0,0.000115802691589684,4.46797387334207e-05,0.000449850348809534,0.000954544388024563,0.00103753303450638,0.00228914620737374,8.33827864840219e-05,0.000287210018990068,6.56634693329158e-05,4.24124576808064e-06,0.000128708226655403,0.000168564828831863
"azelaic acid and unresolvable, unidentified isomers",0.000103712187302403,0.00010548987457628,5.12938847437297e-05,0.000146862775290794,0.000313901514419801,0.000105624828249955,0,0,4.52132154087463e-05,4.50284157732975e-05,0.000176629240231168,0.00037709143634375,9.6205015028387e-06,3.88005650098489e-05,0,0.000241438325147122,4.96259838196166e-05,2.30341075024598e-05,5.00185795455009e-05,0.000166160047265133,0,4.83385105753357e-05,0,0
