"","MSSuc-ster-Brachy-1-419","MSSuc-ster-Brachy-2-420","MSSuc-ster-Brachy-3-421","MSSuc-ster-Brachy-4-422","MSSuc-ster-Brachy-5-423","MS-ster-Brachy-1-412","MS-ster-Brachy-2-413","MS-ster-Brachy-3-414","MS-ster-Brachy-4-415","MS-ster-Brachy-5-416","MS-nonster-Brachy-1-426","MS-nonster-Brachy-2-427","MS-nonster-Brachy-3-428","MS-nonster-Brachy-4-429","MS-nonster-Brachy-5-430"
"pyridoxine",0.000577080362416361,0.000560822608933804,0.00064082181026714,0.000886162010963781,0.0460607877243695,0.000986699840714701,0.000762314402827435,0.00142308967899114,0.00071340098200539,0,0.00174804197062836,0.00179909845777619,0.000842628716240127,0.00149744327589273,0.00202553473245475
"quinic acid",0,0,0,0,0,0,0,0,0,0,0.00841017653448805,0.0194596123343976,0.00499098575615861,0.0103305351432481,0.0117293387533363
"riboflavin",1.26420950212401e-05,1.74984682492046e-05,9.59006777145303e-06,1.11593861393506e-05,5.21196352289454e-05,0,0,0,0,0,1.28933255130201e-05,2.92803114247132e-05,6.95115744728835e-06,9.62809928457534e-05,4.16623024920388e-05
"serine",0.000390333518725661,0.00056008029286661,0.0002557387841085,0.000446344478094722,0,0.000157391604723646,0.000374071533583549,0,0.000142017758196723,0.000174350000404067,0.000711779664296087,0.000517223626924114,0.000235869323761232,0.000797131427055075,0.000690008637417084
"sn-glycero-3-phosphocholine",0.0355305675127545,0.0354902743972549,0.0260586661364679,0.0328962318811952,0.0187913026130273,0.0297863565194854,0.0291724815110091,0.0238541329689647,0.0262244060190065,0.0264542721965958,0.0116670507128221,0.0175030824564218,0.00723276218586474,0.0442570459805136,0.0208448420174071
"sorbic acid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"suberic acid",0.000109184381616393,0.000155488390878293,0.000131988429354173,0.000220043144767533,0.00722067235937497,0.00140657614862586,0.00204954721445198,0.00151443865432161,0.0016821375843205,0.00106429482597356,0.00077146114225771,0.00141933519086356,0.000343808024689849,0.00106667127418789,0.00157173940498841
"syringic acid and/or isomers",5.8224693103398e-05,8.8012527558169e-05,4.1579966444185e-05,7.96207579776671e-05,0.000374082072648607,0.000597685654326626,0.0006077968544699,0.000366108333203821,0.00106464781954938,0.00159443649120854,0.000409010212517591,0.00141225065684839,0.000175758391219295,0.000394839483665264,0.000624210005980275
"taurine",0.000590878404978233,0.00130926422760898,0.000321103257331088,0.00136620353179399,0.0139972840193309,0.110158967796557,0.109616047734049,0.109308930834611,0.136562170117513,0.079194148158073,0.0530632840590421,0.04114598636403,0.0151487496007047,0.0404519879876665,0.064783054125841
"tetrasaccharide (ex. stachyose)",0.00258445975917505,0.000494530081595744,0.00853281042181853,0.00037865257193567,0,0,0,0,0,0,1.84545019719264e-05,0,0,1.60140730093537e-05,1.75953592209931e-05
"threonine/allothreonine/homoserine",0.00185612884156744,0.00290987472296667,0.000626987068496195,0.00251313075879081,0.00186702489418555,0,0,0,0,0,0.00377333309198117,0.000939045655529583,0.00265569030123299,0.0016124139212969,0.00091243625890781
"thymidine",3.78609068607226e-05,3.14060654128999e-05,2.44445892572002e-05,2.20626607157728e-05,9.61612902520009e-05,0.000436087591693329,0.00049440162822356,0.000334816119620735,0.000903970631310616,0.000845985072657381,0.000112823811378188,0.000559456127756842,7.55890201330521e-05,0.000123655343561517,0.000166937677818903
"thymine",0,0,0,0,0,0,0,0,0,0,0.000803778733291065,0.001964681769075,0.00020353666117808,0.000883512453996726,0.000373406148608811
"trans-cinnamic acid",1.39203971809731e-05,2.07198435747246e-05,1.20581099868407e-05,1.58506844197198e-05,2.09876311367587e-05,0,0,3.38837275562127e-05,0,3.31325961108744e-05,0.000473366768526648,0.000563201880530026,0.000171898159886546,0.00040586501259542,0.000555321755356685
"trigonelline",0,0,0,0,0.000601407470477145,0.00671595308614574,0.00471796275826852,0.00327735735527211,0.00368241072855979,0.00368296142189687,0.00332748721746857,0.00395043445334324,0.00153007340035138,0.00386058597022723,0.00482959385478477
"trisaccharide (ex. raffinose)",9.37554356504777e-05,8.78284287813931e-05,1.98933239268357e-05,6.58758034494567e-05,0.000218017031502923,0,0,0,0,0,0.00540200487424039,0.000400552956219758,0.000603007442237404,0.00034728135579426,0.000406586963483211
"tryptophan",0.000208138580408693,5.13796811373894e-05,1.91780703216815e-05,3.43142041824364e-05,0.00134328170315347,9.20248359425359e-05,8.29483207284597e-05,4.68411185587032e-05,0.000181925313898968,0.000124203637556972,0.000352368828079568,0.000241259489520614,0.000123059208576326,0.000464550053292375,0.000368981248623453
"tyramine",3.9579860381059e-05,8.04636231867604e-05,0.000116081015855322,0.000113159666412144,0.000198193034179233,0.0012873788294645,0.0013849258756258,0.00117724944542881,0.00134416662256695,0.00147260099600989,0.00165619018954218,0.00320732170442665,0.000625003604223328,0.00528395681577808,0.00700259079487863
"tyrosine",6.05916117841507e-05,3.68975087907579e-05,2.67787842560172e-05,3.47663032127515e-05,0.000660310671096063,0,0,0,0,0,0.000601087799627396,0.000236305932831091,0.000178842127078957,0.000415088598611149,0.000329596474967553
"uracil",0.000127885908530756,0.000176912720112581,7.27642181539383e-05,0.000277972815654965,0.00145888509705608,0.000414433419402572,0.000209534710711544,0.000228263770511274,0.00114873055820068,0.00113129320657725,0.00064900243563975,0.00337435599693018,0.000243074626902061,0.000559813883052497,0.00215150647530486
"uridine",0.000727902971938844,0.000885454460158814,0.000608765165630177,0.00100186108299698,0,9.60436704317955e-06,1.28917019829026e-05,2.63026318201717e-05,2.13530659435723e-05,6.79133839432325e-05,4.49660348017188e-05,8.37374584683257e-05,1.08786071254342e-05,2.75368890402968e-05,1.92375902644932e-05
"uronic acid",5.02789592528173e-07,0,0,0,0.000418015923461184,0,0,0,0,0,0.00298541046002594,0.00124486376600318,0.0011043596694782,0.00182803079212886,0.00103090688555371
"valine",0,0.00550902880096997,0,0.00459318748642058,0.00494720986303581,0,0,0,0.000889244361134582,0,0.00899536321444078,0.00533806531809666,0.00292443367892797,0.011221222841602,0.00546242830538299
"vanillic acid",0.000698414670165537,0.000520286847519925,0.000425569728685729,0.000856662047665279,0.00227864745495224,0.00335682156707106,0.00516552081789587,0.00309670066607646,0.0072598103869488,0.00516723612045762,0.00313057321474456,0.0169515134731172,0.00228856409910304,0.00520903062711069,0.0119860024640114
