,logFC,level,p,Genus,ord
K24543,0.638818824489723,enriched,0.00664649177990734,K24543,0.408089490522431
K00763,-0.638748681597392,depleted,1.71131129542849e-07,K00763,0.407999878242407
K02206,-0.636999523795391,depleted,0.000145916581313533,K02206,0.405768393315555
K00021,0.635951524821192,enriched,0.00474857364008788,K00021,0.404434341922399
K00817,-0.635353664561599,depleted,4.3246210947841e-06,K00817,0.403674279071852
K12587,0.632776984810431,enriched,0.00374219525000624,K12587,0.400406712505781
K22848,0.630626967696036,enriched,0.000185659653743518,K22848,0.397690372385497
K00852,-0.628774736368264,depleted,0.00135926059492706,K00852,0.39535766909498
K12450,0.626912093695461,enriched,0.00771035632412832,K12450,0.393018773221626
K07950,-0.625114169266292,depleted,1.36713714664688e-09,K07950,0.390767724617487
K00767,-0.625065217794523,depleted,0.00158999773904161,K00767,0.390706526496514
K11755,-0.622152846906272,depleted,0.00135037536085405,K11755,0.387074164913579
K07020,-0.621727879547336,depleted,0.0092937626456026,K07020,0.386545556206427
K24193,-0.62097392143018,depleted,5.95039688982306e-06,K24193,0.385608611096376
K00033,-0.619691800820468,depleted,3.34132248009173e-06,K00033,0.384017928004115
K12119,0.619317787770996,enriched,0.00273352802977728,K12119,0.383554522249561
K14298,0.61895831153577,enriched,1.50039972150728e-05,K14298,0.383109391419211
K00605,-0.617842847108942,depleted,0.00135498663292555,K00605,0.381729783723684
K07252,0.617168272770269,enriched,0.00111422633988106,K07252,0.380896676914237
K01785,-0.616458457158754,depleted,0.000243785494890413,K01785,0.380021029402551
K06133,-0.615195592791163,depleted,0.00342312035250756,K06133,0.378465617389671
K18798,0.614045979181251,enriched,0.00491627516340653,K18798,0.377052464548662
K03116,0.613772991141541,enriched,0.00377774020223227,K03116,0.376717284654834
K22736,0.61301608442287,enriched,0.00127341654145288,K22736,0.375788719761147
K14493,0.612855169782679,enriched,0.000403213736670173,K14493,0.375591459129356
K01623,-0.612273246538539,depleted,2.24046505539344e-05,K01623,0.374878528426842
K10758,-0.611473735923931,depleted,1.9605587649639e-07,K10758,0.373900129724769
K21888,0.611459650068636,enriched,0.000814951463882184,K21888,0.373882903662058
K08235,0.610586347404739,enriched,3.92505120616801e-07,K08235,0.372815687637061
K13832,-0.610583576029584,depleted,6.63420287862979e-10,K13832,0.372812303317075
K12197,0.610286967415013,enriched,0.000486294156110513,K12197,0.372450182596613
K02138,-0.61026267725694,depleted,2.96903512263022e-06,K02138,0.372420535252808
K09022,-0.608933269736289,depleted,0.000279001047836765,K09022,0.370799726991728
K13347,-0.60808714850159,depleted,4.00003374735894e-05,K13347,0.369769980172794
K07253,-0.605666191753919,depleted,0.00109945130384079,K07253,0.366831535833694
K07375,-0.602972519401988,depleted,0.0014290634778926,K07375,0.363575859153981
K00586,-0.602746044905629,depleted,0.00141055346958501,K00586,0.363302794649379
K05658,-0.598635467045982,depleted,9.97541168223338e-11,K05658,0.35836442240536
K07513,-0.598204541576263,depleted,2.14230016210625e-05,K07513,0.357848673562467
K01519,-0.598116026283724,depleted,6.75314413172317e-06,K01519,0.357742780897432
K00134,-0.597531528701876,depleted,0.000112333669234351,K00134,0.357043927792801
K06990,-0.596733836184374,depleted,3.38716282722173e-05,K06990,0.35609127124732
K14319,-0.595969945759469,depleted,0.00114210672835561,K14319,0.355180176248544
K22757,-0.595909038311132,depleted,0.000216269047194355,K22757,0.355107581940898
K08818,0.595549791399921,enriched,0.00310372762030802,K08818,0.35467955403649
K00898,-0.594476327499277,depleted,9.98429032067669e-06,K00898,0.353402103957028
K01052,-0.591039991723152,depleted,0.00031761140027215,K01052,0.349328271816104
K00499,-0.590129091166366,depleted,0.0031391603220367,K00499,0.348252344240841
K01800,-0.586708551608582,depleted,3.51676799403248e-08,K01800,0.34422692453064
K07297,0.58643919669611,enriched,0.000277577718335971,K07297,0.343910931421579
K24544,-0.585658724910562,depleted,0.000533984564247401,K24544,0.342996142063866
K24028,0.585499570750963,enriched,0.00586219730987365,K24028,0.342809747349562
K10886,0.585499280450649,enriched,0.00318280607887823,K10886,0.342809407408228
K00326,-0.584591464157237,depleted,1.29006812609444e-05,K00326,0.341747179965502
K18469,-0.584007818194829,depleted,0.000163495454886367,K18469,0.341065131712685
K01900,-0.583267726133274,depleted,1.68689133319625e-08,K01900,0.34020124034868
K00465,-0.58298790106445,depleted,1.57040367917442e-07,K00465,0.339874892787533
K01663,-0.581310949824431,depleted,0.00285492356604149,K01663,0.337922420385783
K11262,-0.57663109359479,depleted,5.79090073814555e-05,K11262,0.332503418100324
K09553,0.57593872422653,enriched,0.00531076540243876,K09553,0.331705414063682
K06699,-0.573576360118601,depleted,8.99571050282217e-05,K06699,0.328989840886903
K01177,0.572471682584924,enriched,7.09793914739386e-05,K01177,0.327723827361614
K08331,-0.571638988782031,depleted,1.79515124076641e-06,K08331,0.326771133495743
K24917,0.570312667454534,enriched,7.67701949030902e-07,K24917,0.325256538659106
K00083,-0.568844358200835,depleted,5.83561903237126e-05,K00083,0.323583903856919
K20714,0.568154680642422,enriched,0.00116642642028755,K20714,0.322799741135892
K12890,0.566821743973548,enriched,3.74093871875514e-07,K12890,0.321286889441214
K14649,0.564413080995761,enriched,0.000302672432237173,K14649,0.318562125999127
K17285,-0.564191130567062,depleted,0.0109192303699626,K17285,0.31831163181054
K00382,-0.56317239732329,depleted,1.17698518202172e-05,K00382,0.317163149106861
K00814,-0.562663210073953,depleted,0.00696100367620787,K00814,0.316589887970726
K13458,0.561257673097159,enriched,0.000382375333864947,K13458,0.315010175610437
K00514,-0.560543975751411,depleted,6.30616898276799e-06,K00514,0.314209548751199
K24139,0.560120587009696,enriched,4.09782588659625e-05,K24139,0.313735071992087
K15891,-0.559988361152499,depleted,0.000718973856066999,K15891,0.313586964626261
K03517,-0.55948094883687,depleted,0.00327148171958581,K03517,0.313018932111405
K00297,-0.559480096534839,depleted,3.19230644918206e-06,K00297,0.313017978418633
K01595,-0.559431072556132,depleted,2.41370221424146e-08,K01595,0.312963124941305
K08669,0.55627440955928,enriched,0.00445188599564059,K08669,0.309441218730526
K09523,0.555788288238538,enriched,1.04972067518741e-05,K09523,0.308900621343124
K14050,-0.552178049352043,depleted,0.00202980285972301,K14050,0.304900598186228
K19761,0.550625561684804,enriched,0.00568410886163919,K19761,0.303188509180705
K12898,0.549068083452339,enriched,0.000378592427912283,K12898,0.301475760266025
K17553,0.548220213308022,enriched,0.0111993810270729,K17553,0.300545402279493
K22912,0.548220009737794,enriched,0.00261706996235579,K22912,0.300545179076907
K22683,0.546855568676231,enriched,0.000541244825647367,K22683,0.299051012992203
K03426,-0.546706759212545,depleted,0.000488683804022554,K03426,0.298888280568683
K06176,0.546296898604773,enriched,0.00577060811896108,K06176,0.298440301425193
